DANBY LODGE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NZ716083,Long,-0.897,Lat,54.465,Elevation,500,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,3474,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,1.34,1.27,2.50,2.50,2.35,4.26,5.17,1.39,4.52,1.31,6.65,1.96,4.16,4.07,4.13,3.60,2.64,2.27,1.65,3.43,2.48,4.91,3.76,5.00,3.32,2.29,3.44,2.46,4.31,5.76,6.40,4.05,6.27,1.66,4.62,5.01,5.04,1.71,6.98,2.31,3.69,,,,,,1.72,2.79,2.92,,2.06,4.41,4.13,6.93
February,1.65,1.45,1.80,3.93,1.18,1.81,1.37,2.49,5.73,4.19,1.08,1.66,1.93,1.04,0.26,2.11,5.33,1.70,5.29,2.01,1.87,1.75,1.47,2.02,2.54,1.97,5.96,2.53,4.36,4.52,4.14,2.20,1.81,2.53,7.01,2.53,1.15,3.46,1.98,1.45,4.72,,,,,,3.20,2.59,3.01,3.71,3.90,4.67,0.50,3.58
March,0.98,3.79,5.99,0.97,2.52,3.36,3.32,2.61,1.84,6.28,2.49,1.63,5.16,2.77,1.49,3.30,1.97,0.96,2.92,0.80,2.28,3.96,0.29,3.84,2.04,3.03,1.88,3.60,0.91,1.68,4.81,0.19,4.64,2.20,3.80,1.22,0.52,1.11,0.49,2.04,5.81,,,,,,0.34,2.94,2.80,0.92,1.41,3.02,1.39,1.73
April,2.16,3.14,3.05,3.64,0.99,0.37,4.09,0.97,1.26,1.53,3.22,1.85,2.41,4.41,1.66,2.58,1.92,2.34,3.55,1.44,2.32,1.79,1.77,5.04,5.13,1.83,1.09,3.82,3.39,2.24,3.84,0.43,2.08,3.03,1.73,2.01,1.12,1.75,2.31,2.79,4.37,,,,,,3.79,0.18,1.23,1.39,0.98,2.14,3.18,0.95
May,3.50,2.77,1.87,2.14,1.29,2.80,4.10,1.92,2.11,2.84,1.34,1.78,0.80,1.85,1.54,0.71,4.47,5.52,2.75,2.51,1.67,2.27,1.10,1.58,2.13,8.45,2.71,1.33,1.98,2.31,3.08,3.75,3.23,0.81,1.93,2.57,2.81,1.71,4.18,3.12,1.97,,,,,,2.43,3.54,3.08,0.87,1.15,2.89,0.91,1.37
June,3.02,0.65,5.16,2.00,5.31,5.04,1.67,3.61,0.46,2.44,1.92,0.79,1.87,1.07,0.49,2.07,1.47,2.90,1.21,3.33,3.23,5.57,1.92,1.19,4.95,1.73,2.60,1.63,3.21,5.18,1.19,2.74,5.06,1.35,0.83,2.87,1.26,3.24,2.19,3.32,2.54,,,,,1.23,4.84,1.73,2.36,4.98,2.31,3.54,1.86,0.77
July,2.54,2.33,2.85,2.63,1.08,7.02,1.36,6.42,5.83,1.31,1.44,3.44,3.77,5.80,1.28,5.53,3.34,4.73,3.27,3.94,2.69,0.79,2.92,13.37,4.15,3.71,1.72,3.78,0.31,3.07,1.84,3.43,2.86,6.22,1.71,4.95,1.24,4.11,2.72,5.29,2.32,,,,,2.06,3.03,1.40,1.22,3.07,3.19,2.77,2.55,4.64
August,2.18,2.51,5.38,4.19,4.01,4.46,2.07,0.75,3.13,2.08,8.35,2.99,3.15,3.00,6.77,4.56,4.73,2.29,2.89,3.25,7.25,4.89,3.20,4.29,2.47,4.05,0.40,3.39,2.64,2.57,1.55,5.21,2.63,2.33,3.67,2.09,2.86,5.27,5.64,4.03,0.25,,,,,2.54,2.40,10.09,1.13,8.39,3.67,2.80,0.46,3.14
September,0.50,2.92,3.30,1.31,3.04,2.88,0.90,2.55,3.58,2.06,0.79,5.59,1.23,1.58,1.08,3.87,2.81,3.02,3.30,1.87,5.92,1.38,0.64,5.77,9.06,3.28,2.52,1.69,5.11,3.86,2.23,2.98,3.23,2.31,0.72,3.19,4.26,6.35,2.26,4.79,1.63,,,,,6.75,2.29,1.69,1.52,1.77,4.56,1.95,0.65,4.27
October,5.60,1.54,4.09,4.64,2.79,3.60,5.16,3.44,2.20,3.84,4.14,3.11,7.72,2.18,2.03,2.79,3.26,4.39,2.79,4.69,2.89,4.58,3.63,2.71,2.62,5.68,5.13,2.88,4.71,2.66,2.98,3.53,7.80,5.29,5.37,2.70,1.64,4.90,3.51,1.71,0.85,,,,,4.64,3.08,4.53,3.43,2.51,2.36,1.89,2.33,12.44
