FINCHAMPSTEAD-WEST-COURT,,,,,,,,,,,,,,,,,,,,
Grid ref,SU772638,Long,-0.89241698,Lat,51.368024,Elevation,180,ft.,,,,,,,,,,,,
Station no,RR4195,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919
January,,,0.7,2.39,2.51,0.58,3.43,0.81,1.5,0.81,2.14,1.01,4.06,3.59,0.55,3.31,0.89,1.13,,
February,,,1.02,1.18,2.85,0.4,1.73,1.47,1.04,0.43,2.83,1.35,1.97,0.96,2.78,3.06,3.25,0.88,,
March,,,1.73,3.51,1.04,3.48,1.45,0.96,2.56,3.55,0.9,1.84,3.16,2.43,4,0.78,4.31,1.77,,
April,,,0.83,2.08,1.24,1.72,0.63,3.33,3.5,1.77,2.41,1.71,0.09,1.85,0.57,0.88,0.87,1.6,,
May,,,1.62,2.8,2.92,2.2,2.36,1.47,1.39,1.31,2.02,3.6,2.16,1.91,1.39,3.15,2.06,1.11,,
June,,,2.84,5.68,1.12,4.14,2.18,2.26,1.03,4.21,4.07,1.41,3.83,0.28,1.49,1,2.06,2.93,,
July,,,0.88,3.89,1.48,0.5,0.69,1.84,1.22,2.54,3.17,0.28,1.63,1.05,2.46,4.96,0.76,5.38,,
August,,,3.52,3.07,2.11,2.92,1.19,2.29,2.64,1.59,2.51,0.56,4.74,1.08,1.21,2.55,4.49,4.45,,
September,,1.33,0.47,2.02,1.31,2.15,1.28,0.75,1.69,3.25,0.48,1.04,2.5,1.73,0.84,2.57,1.62,1.49,,
October,,2.64,1.33,7.52,1.45,1.41,5.15,4.88,2.2,5.09,4.11,2.72,2.5,3.72,1.65,3.56,3.8,3.57,,
November,,0.43,2.46,1.59,1.65,2.64,4.03,2.19,0.79,0.66,3.08,3.58,2.17,2.27,2.19,2.13,3.89,0.81,,
December,,3.45,1.34,2.28,2.28,0.78,2.12,3.64,2.27,2.66,3.79,5.66,3.55,0.86,7.02,5.33,2.83,1,,
Total,,,18.74,38.01,21.96,22.92,26.24,25.89,21.83,27.87,31.51,24.76,32.36,21.73,26.15,33.28,30.83,26.12,,
,,,,,,,,,,,,,,,,,,,,
NGR is West Court. Altitudes match.,,,,,,,,,,,,,,,,,,,,
