"BRACKENFIELD (LINDWAY RESERVOIR)",,,,,,,,,,,,
Grid ref,SK357584,Long,-1.468008,Lat,53.121585,,,,,,,
Station no,2668,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,2.74,2.43,0.91,1.94,3.32,5.41,2.50,3.75,3.39,5.50,,
February,3.38,0.74,1.61,3.06,2.83,1.61,3.08,5.04,0.15,3.77,,
March,4.67,2.64,2.50,2.89,3.39,1.16,2.61,2.34,1.89,1.93,,
April,2.30,1.75,3.04,0.69,1.15,2.23,0.19,1.14,3.56,1.53,,
May,3.55,2.79,2.25,3.50,3.19,0.80,1.11,2.95,0.77,1.69,,
June,1.67,2.63,2.93,4.24,4.23,3.93,1.44,4.53,1.05,1.82,,
July,1.08,1.22,2.80,2.35,0.68,3.98,4.34,4.90,3.78,3.57,,
August,5.25,1.43,2.98,5.40,0.35,6.96,5.15,2.02,1.05,5.71,,
September,2.69,2.62,1.65,4.11,0.84,3.20,6.89,3.16,0.06,4.74,,
October,0.81,4.37,2.43,3.86,3.25,1.78,2.40,2.82,2.43,7.22,,
November,7.19,2.01,2.29,6.78,3.26,0.92,2.80,1.01,3.65,4.87,,
December,3.04,2.78,1.42,3.75,3.29,4.53,2.58,3.90,4.81,4.00,,
Total,38.37,27.41,26.81,42.57,29.78,36.51,35.09,37.56,26.59,46.35,,
Calc annual,38.37,27.41,26.81,42.57,29.78,36.51,35.09,37.56,26.59,46.35,,
Difference,0.00,-0.00,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,,
