LAMMERMUIR HILLS (KINGSIDE),,,,,,,,,,,,,,,,,,,,
Grid ref,NT645640,Long,-2.5688291,Lat,55.867857,Elevation,779,ft,,,,,,,,,,,,
Station no,5094/8,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,,,2.11,1.08,4.01,2.08,0.76,2.87,2.02,,,,,
February,,,,,,,,,1.16,3.66,4.35,0.89,1.22,3.25,2.29,,,,,
March,,,,,,,,1.18,1.76,3,4.42,1.67,0.5,2.64,2.29,,,,,
April,,,,,,,,2.11,1.45,3.31,3.91,2.79,3.65,0.98,0.83,,,,,
May,,,,,,,,2.11,1.63,2,3.96,1.96,1.97,8.88,2.22,,,,,
June,,,,,,,,4.96,1.18,2.07,1.63,2.64,3.57,2.86,1.18,,,,,
July,,,,,,,,2.18,2.52,2.47,3.32,2.13,3.79,2.09,2.14,,,,,
August,,,,,,,,13.68,3.05,2.74,4.49,3.2,2.79,9.43,0.48,,,,,
September,,,,,,,,3.26,1.54,5.93,1.44,4.28,3.8,3.53,1.76,,,,,
October,,,,,,,,3.98,6.35,2.28,0.68,5.28,2.17,5.87,,,,,,
November,,,,,,,,2.13,5.84,7.72,5.79,4.42,2.97,5.06,,,,,,
December,,,,,,,,3.59,3.43,1.94,2.72,6.88,2.26,3.23,,,,,,
Total,,,,,,,,,32.02,38.2,40.72,38.22,29.45,50.69,,,,,,
,,,,,,,,,,,,,,,,,,,,
1950 Aug,,,,,,,,,,,,,,,,,,,,
