CHORLEY (BOTANY SEWAGE WORKS),,,,,,,,,,,,,,,,,,,,
Grid ref,SD594187,Long,-2.6158909,Lat,53.663198,Elevation,310,ft,,,,,,,,,,,,
Station no,3006/3,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950
January,,,,,,,,,5.75,2.13,2.61,4.19,4.36,5.97,3.45,,,9,2.26,
February,,,,,,,,,3.84,2.56,5.26,1.69,2.46,3.04,4.4,,,1.8,1.88,
March,,,,,,,,,2,2.64,3.13,2.67,1.01,0.76,1.42,,,1.6,1.05,
April,,,,,,,,,2.88,2.34,1.8,1.84,2.55,2.15,2.29,,,1.54,3.32,
May,,,,,,,,,1.35,1.33,2.11,3.7,2.92,3.11,3.25,,,1.53,2.9,
June,,,,,,,,4.97,3.18,0.84,0.46,0.85,3.51,2.85,3.29,,,5.08,0.67,
July,,,,,,,,3.89,6.19,5.86,1.93,4.75,3.16,3.57,2.59,,,2.95,3.83,
August,,,,,,,,2.58,2.15,2.51,5.37,4.05,6.92,2.91,2.29,,,4.42,1.28,
September,,,,,,,,2.42,1.24,4.29,1.15,3.47,4.76,7.55,2.74,,,2.92,1.19,
October,,,,,,,,8.44,2.07,4.2,4.77,6.47,4.18,4.67,6.05,,,2.02,4.17,
November,,,,,,,,5.35,6.59,6.98,2.3,1.12,3.76,7.06,0.23,,,1.71,4.86,
December,,,,,,,,4.85,2.74,4.45,2.48,4.45,2.46,3.63,2.4,,,3.26,4.9,
Total,,,,,,,,,39.98,40.13,33.37,39.25,42.05,47.27,34.4,,,37.83,32.31,
