"ALCESTER (THE PLECK)",,,,,,,,,,,,
Grid ref,SP078589,Long,-1.887222,Lat,52.228247,,,,,,,
Station no,2449/3,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,3.02,1.62,0.74,1.03,2.65,3.50,1.60,2.38,4.00,4.54,,
February,2.35,0.48,1.29,2.21,1.59,0.52,2.43,3.39,0.08,1.84,,
March,4.00,2.39,1.10,2.09,2.11,0.81,2.14,1.00,2.85,1.03,,
April,2.66,2.24,2.26,0.57,1.13,0.97,0.10,0.64,2.73,0.86,,
May,3.08,2.41,1.49,1.82,4.37,0.61,1.20,2.44,0.94,1.39,,
June,1.29,1.54,1.36,3.11,2.63,2.35,1.41,3.48,0.71,2.83,,
July,0.63,0.36,3.95,3.80,0.46,2.11,3.27,3.81,1.05,3.39,,
August,4.27,4.26,3.42,4.17,0.33,4.92,5.68,2.77,1.17,4.25,,
September,1.81,1.44,1.74,1.79,1.09,2.45,3.31,3.92,0.10,4.47,,
October,1.03,4.83,1.62,2.98,1.33,1.48,1.10,2.68,2.50,4.67,,
November,6.62,2.36,1.18,4.43,2.22,0.60,1.87,2.15,3.13,3.78,,
December,1.68,2.47,0.78,1.81,2.18,2.68,1.70,2.45,4.32,2.86,,
Total,32.44,26.40,20.93,29.81,22.09,23.00,25.81,31.11,23.58,35.91,,
Calc annual,32.44,26.40,20.93,29.81,22.09,23.00,25.81,31.11,23.58,35.91,,
Difference,-0.00,0.00,-0.00,0.00,-0.00,0.00,0.00,0.00,0.00,-0.00,,
