DALRY CLENRIE,,,,,,,,,,,,,,,,,,,,
Grid ref,NX551821,Long,-4.273188,Lat,55.112056,Elevation,850,ft,,,,,,,,,,,,
Station no,RR7259,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919
January,,,,,6.96,7.1,10.79,4.96,6.66,5.76,4.49,4.9,10.37,8.07,,,,,,
February,,,,,6.25,6.41,5.1,5.88,5.32,4.3,8.11,6.55,5.93,5.92,,,,,,
March,,,,,4.31,7.04,6.5,8.61,5.37,4.56,4.75,1.42,9.4,6.86,,,,,,
April,,,,,7.62,5.71,2.4,3.6,2.3,4.23,3.95,5.2,3.48,6.52,,,,,,
May,,,,,4.02,2.7,7.74,6.11,3.5,2.21,2.71,3.65,2.79,5.8,,,,,,
June,,,,,3.38,4.3,1.3,5.86,2.84,4.54,2.29,3.66,7.95,5.32,,,,,,
July,,,,,4.19,3.18,5.22,3.69,4.88,6.94,4.31,2.49,4.24,1.21,,,,,,
August,,,,,8.88,5.74,7.07,8.68,4.28,2.89,10.24,4.61,6.73,2.72,,,,,,
September,,,,,6.13,3.53,2.68,1.48,8.86,4.42,2.12,4.02,4.32,3.51,,,,,,
October,,,,,5.94,7,11.62,13,2.43,11.56,3.95,7.91,8,5.21,,,,,,
November,,,,,9.35,9.2,6.58,5.34,5.25,2.76,5.81,10.35,6.95,12.21,,,,,,
December,,,,,8.77,7.99,9.27,7.33,5.66,6.46,9.48,15.93,12.99,,,,,,,
Total,,,,,75.8,69.9,76.27,74.54,57.35,60.63,62.21,70.69,83.15,,,,,,,
,,,,,,,,,,,,,,,,,,,,
1913 December estimated so removed along with total,,,,,,,,,,,,,,,,,,,,
