DARTMOOR LEATHER TOR FARM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SX566698,Long,-4.023788,Lat,50.510383,Elevation,910,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,1649,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January,,,3.7,4.85,7.28,5.96,3.12,4.39,1.9,9.28,8.81,4.89,3.58,6.29,9.36,3.08,10.45,3.14,3.3,3.14,8.38,2.87,7.31,13.03,3.12,6.65,4.84,2.91,6.31,8.53,11.91,9.04,8.19,5.35,8.26,8.17,9.2,8.15,9.88,3.2,9.4,4.45,8.65,3.95,6.15,2,9.25,10.15,8.75,8.8,3.85,3.92,7.95,10.6,7.71,4.02,9.17,7,13.59,3.22,3.21,8.78,7.45,1.93,3.27,9.45,6.71,9.82,7.91,10.61,7.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February,,,5.83,10.05,5.25,0.35,1.29,6.42,3.19,6.06,8.52,1.84,3.22,3.68,9.13,2.49,6.08,3.74,4.11,0.92,9.4,4.97,8.1,3.44,8.92,12.54,8.99,2.03,5.14,6.36,2.1,0.38,6.84,13.74,3.02,8.5,5.1,4.5,5.1,2.05,2.45,5.85,0.03,5.85,0.35,6.15,6.7,10.3,3.35,3.7,7,8.05,1.05,3.11,2.19,5.56,6.76,2.25,2.47,3.28,9.76,8.95,1.46,2.41,7.37,4.53,0.29,9.73,6.92,0.4,7.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March,,,1.96,0.77,3.75,5.16,7.5,7.43,2.5,1.51,3.22,3.93,4.64,7.8,3.65,7.92,2.74,2.39,5.67,8.37,1.82,5.09,11.74,8.92,11.36,1.78,4.19,4,3.46,8.23,6.31,4.99,5.73,3.48,3.23,1.3,1.6,6.4,7.4,0.73,3.2,1.85,3.5,7,4.5,1.65,5.45,6.85,1.25,2.75,4.55,5.6,5.95,1.78,0.27,2.46,4.2,12.33,3.44,2.41,4.83,7.76,7.81,1.44,6.67,2.53,2.71,8.16,2.43,8.79,5.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April,,,2.04,0.65,4.64,4.99,1.18,5.41,3.4,4.85,3.02,4.83,2.93,2.7,3.11,4.33,1.87,9.41,3.63,4.65,5.3,4.53,0.51,9.56,2.83,2.21,2.71,2.79,2.2,4.08,7.05,1.64,5.59,5.06,6.7,4.6,3.45,3.1,2.4,0.6,5.45,3.95,5.15,4.05,4.5,6.35,3,4.35,0.22,3.95,4.35,2.15,4.15,1.53,3.71,1.66,2.86,5.54,3.32,3.84,4.38,3.39,6.07,4.33,0.81,2.79,1.45,0.52,1.46,6.21,5.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May,,,2.13,2.71,4.88,0.95,0.14,2.66,4.31,4.28,2.83,2.18,2.36,3.55,5.27,1.06,5.25,5.15,3.3,2.23,4.08,2.06,2.69,5.78,3.21,3.55,2.34,2.53,1.88,2.29,3.21,3.51,2.52,4.3,6.45,6.55,2.85,1.1,1.6,5.05,2.75,3.6,5.75,2.6,3,3,0.9,3.4,4.35,1.45,2.35,4.05,8.75,6.28,1.07,4.58,5.92,4.26,3.92,4.05,2.53,3.79,3.47,6.22,4.63,6.22,1.62,3.75,6.02,2.73,2.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June,,,2.83,1.42,3.43,2.31,2.38,3.23,3.38,1.77,6.08,2.57,4.07,1.7,1.65,3.04,1.9,5.41,1.07,3.11,2.77,3.9,8.81,2.51,2.12,2.72,4,3.71,2.95,1.3,2.82,0.17,2.24,1.16,3.73,0,4.85,4.25,4.25,2.3,1.63,5.55,3.65,3,2.55,6.5,1.7,2.05,3.05,5.15,1.15,3.25,0.65,3.04,6.73,8.8,6.62,4.56,3.3,1.28,2.26,2.17,2.51,5.19,6.38,4.23,4.27,2.21,5.53,2.58,3.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,,,2.5,6.81,5.79,5.6,3.46,1.69,0.6,1.83,3.3,1.63,3.26,4.75,6.82,1.22,2.34,2.97,4.61,6.41,5.69,1.33,4.05,0.48,7.68,6.01,2.14,3.19,4.38,3.69,8.38,2.91,7.2,2.42,6.96,5,2.7,6.1,2.65,3.2,4.4,6.15,7.5,2.85,1.5,1.25,10.5,4.3,4.6,11.15,4.25,1.95,4.31,4.17,5.41,4.64,3.35,4.46,3.45,2.88,7.23,3.12,2.57,6.04,6.24,2.11,7.07,8.32,6.27,2.83,8.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August,,,5.76,2.55,4.52,6.05,2.88,6.94,4.96,1.79,3.84,4.76,4.78,5.39,4.01,6.24,4.48,3.99,5.82,3.35,9.21,5.11,15.18,2.14,5.14,2.93,5.35,8.74,3.67,4.96,2.78,4.47,6.23,5.77,9.06,5.35,3.7,5.75,2.75,5.15,5.85,4.75,1.8,3.5,6.15,3.1,1.75,0.95,6,5.85,0.37,7.5,5.5,5.81,3.76,4.19,8.68,1.43,6.43,3.57,10.32,10.46,7.33,4.61,5.63,0.19,5.98,5.83,9.33,2.4,5.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September,,,4.53,4.26,3.71,0.82,7.97,4.94,2.9,3.35,3.36,4.87,2.12,5.89,3.93,2.49,1.66,1.98,3.13,2.13,0.47,3.62,2.15,5.29,4.18,1.52,3.47,3.65,11.01,4.28,4.22,1.67,4.87,6.09,7.67,6.45,1.55,8.65,1.49,1,6,3.2,8.05,1.65,5.55,7,4.15,4.15,3.15,1.2,3.25,0.8,4.95,5.59,4.46,3.93,12.43,3.72,5.23,4.58,10.86,8.45,4.75,6.08,8.26,3.16,10.65,7.63,9.53,0.29,9.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October,,,7.64,5.66,8.13,5.16,5.32,2.03,8.55,4.83,4.02,3.79,4.47,12.5,3.43,3.18,8.49,9.86,2.51,13.92,8.67,6.76,8.1,5.95,4.08,6.15,11.23,9.48,4.43,2.92,6.39,2.07,2.93,10.95,9.43,8.45,3.75,5.7,10.8,10.5,7.2,2.05,11.75,4.5,5.6,9.45,2.85,4.5,7.35,6.15,6.75,2.2,5.65,6.61,8.74,7.2,4.05,2.47,7.45,12.36,2.92,1.67,7.86,5.83,8.05,4.56,3.81,5.86,6.58,7.54,11.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
