SOUTHFLEET-HOOK-PLACE-FARM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,TQ612706,Long,0.316537,Lat,51.41151,Elevation,100,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,406/5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,1.3,1.82,1.26,3.98,4.84,2.31,4.19,2.13,2.5,2.09,4.44,1.28,1.88,1.49,1.94,2.5,1.13,1.24,2.53,1.82,0.89,1.41,2.98,3.12,0.86,1.69,1.61,1.99
February,,,2.16,0.46,3.1,1.53,4.27,0.66,1.33,1.51,1.79,,1.39,0.84,1.05,2.25,1.77,1.54,0.17,3.81,5.46,0.87,1.19,1.53,1.94,0.4,2.85,1.75,0,1.79
March,,,2.31,2.26,0.38,0.97,3.33,0.49,1.5,3.37,2.55,2.72,0.3,0.13,1.48,1.2,4.49,0.64,0.71,0.71,2.38,2.19,0.28,1.56,0.82,0.88,0.66,0.65,1.35,1.35
April,,,0.62,2.01,2.64,1.87,2.22,0.38,2.05,1.57,1.8,1.18,1.01,1.34,0.96,1.95,1.36,1.47,1.09,2.2,2.8,0.57,2.48,0.12,0.2,1.25,,1.76,2,0.9
May,,3.59,1.59,0.48,1.26,0.24,2.72,1.57,1.47,1.3,1.37,2.93,2.63,0.57,2.36,3.51,0.95,1.14,1.36,1.35,2.18,1.09,1.47,1.99,3.55,0.63,1.09,1.82,0.82,2.2
June,,0.75,1.24,1.46,2.48,2.47,3.12,0.21,1.01,0.34,2.19,0.18,1.74,1.13,1.15,2.02,1.63,2.32,0.91,1.64,1.38,0.98,1.84,3.41,1.5,1.92,0.61,3.86,0.95,0.68
July,,1.53,2.19,1.33,0.6,2.53,0.98,1.15,2.33,4.23,2.07,2.27,1.29,1.62,3.58,1.5,2.6,0.81,0.64,2.12,3.06,0.58,3.29,1.99,0.06,4.83,3.11,2.8,1.24,2.81
August,,0.74,0.42,1.32,1.69,0.5,1.06,1.03,3.11,0,3.53,1.87,1.11,3.77,1.29,4.17,0.21,4.01,1.26,1.43,2.65,2.23,1.04,2.7,0.5,1.86,2.59,3.6,0.65,3.08
September,,1.43,2.75,1.17,2.68,2.17,1.46,2.76,1.17,1.01,0.3,2.86,2.06,2.66,0.53,2.14,1.22,1.18,0.94,1.96,2.65,3.36,2.17,1.12,2.76,1.59,2.43,6.17,0,3.65
October,,5.02,1.45,1.53,2.44,1.6,1.89,2.37,6.09,2.43,0.72,2.83,1.94,3.69,2.89,1.31,0.2,1.59,6.11,0.38,0.74,2.19,2.57,1.43,3.53,1.32,1.13,2.56,2.04,6.79
November,,0.87,0.95,2.44,5.05,3.54,2.05,2.61,3.94,6.58,2.51,1.58,1.27,3.95,0.43,3.79,0.84,1.48,2.23,5.38,3.76,4.34,0.72,3.86,0.56,0.67,3.72,1.48,3.06,3.41
December,,0.39,0.67,4.51,2.61,1.89,4.26,2.02,0.86,0.97,1.69,1.93,1.71,1.51,2.46,1.99,2.92,3.1,1.3,1.45,2.09,2.14,0.53,1.36,1.83,2.9,1.89,2.75,3.85,2.76
Total,,,17.65,20.79,26.19,23.29,32.2,17.56,29.05,25.44,23.02,,20.89,22.49,20.06,27.32,20.13,21.78,17.85,23.67,31.68,22.36,18.47,22.48,20.23,21.37,,30.89,17.57,31.41
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1940 Dash-zero,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1942 Feb estimated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1957 Apr estimated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
