ASHURST STONE NESS,,,,,,,,,,,,
Grid ref,TQ526390,Long,0.179497,Lat,51.129953,,,,,,,
Station no,RR8357,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,3.69,1.25,,,,,,,,,,
February,5.78,2.16,,,,,,,,,,
March,1.27,2.28,,,,,,,,,,
April,1.29,2.59,,,,,,,,,,
May,1.12,0.69,,,,,,,,,,
June,3.08,1.46,,,,,,,,,,
July,1.61,2.61,,,,,,,,,,
August,2.55,1.37,,,,,,,,,,
September,1.14,1.41,,,,,,,,,,
October,2.37,3.54,,,,,,,,,,
November,3.47,0.74,,,,,,,,,,
December,3.62,5.00,,,,,,,,,,
Total,30.99,25.10,,,,,,,,,,
Calc annual,30.99,25.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
Difference,-0.00,0.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
