MARTYR-WORTHY,,,,,,,,,,
Grid ref,SU517340,Long,-1.26297,Lat,51.103,Elevation,275,ft,,
Station no,726/7,,,,,,,,,
,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,5.41,2.27,3.85,3.53,4.08
February,,,,,,0.21,4.07,2.53,0.06,2.93
March,,,,,,0.72,1.8,1.69,3.65,1.35
April,,,,,,1.22,0.13,0.82,3.37,1.14
May,,,,,,0.58,1.47,2.01,0.63,1.07
June,,,,,,2.21,1.25,3.54,1.04,2.42
July,,,,,,3.55,4,1.53,2.22,3.86
August,,,,,,3.9,2.82,2.88,2.29,3.81
September,,,,,,3.37,2.28,4.83,0.13,4.46
October,,,,,,3.01,2.5,2.76,2.26,9.02
November,,,,,,0.67,3.19,2.91,3.35,4.7
December,,,,,,5.49,2.89,3.88,7.1,4.13
Total,,,,,,30.34,28.67,33.23,29.63,42.97
,,,,,,,,,,
,,,,,,,,,,
1957 Jun Inspection found gauge sound and exposure satisfactory,,,,,,,,,,
1959 July Inspection satisfactory No change,,,,,,,,,,
,,,,,,,,,,
Location of gauge unknown so NGR taken from MIDAS,,,,,,,,,,
SRC_ID 859,,,,,,,,,,
,,,,,,,,,,
1955 March marked as start of station but no readings until 1956,,,,,,,,,,
MIDAS says station started in 1955,,,,,,,,,,
