MERTHYR-TYDFIL-HANOVER-STREET,,,,,,,,,,,,,,,,,,,,
Grid ref,SO047067,Long,-3.3819311,Lat,51.750859,Elevation,600,ft,,,,,,,,,,,,
Station no,4087/5,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950
January,,,,,2.01,8.76,10.81,8.92,9.84,,3.54,5.6,11.88,6.65,,7.78,,12.97,2.67,2.32
February,,,,,7.39,4.39,9.4,3.03,5.71,,,0.83,4.25,,,5.74,,5.02,4.21,13.37
March,,,,,1.42,4.38,4.14,0.82,3,3.08,,,,,,3.4,,2.85,3.02,3.84
April,,,,,7.14,3.17,3.75,0.28,4.21,5.08,,3.2,1.82,3.48,,2.42,,3.6,4.28,5.02
May,,,,,1.63,1.75,1.85,4.36,0.68,2.33,,,6.05,2.75,3.83,4.51,,3.75,5.22,3.2
June,,,,,6.19,3.54,1.76,3.61,3.45,1.23,2,,3.52,3.99,4.71,5.11,,6.22,1.26,2.1
July,,,,1.27,0.97,9.56,4.14,4.67,12.2,5.02,2.33,,3.38,3.24,,2.23,2.85,1.7,1.6,8.01
August,,,,5.32,1.93,0.73,1.15,4.9,3.38,0.53,6.1,6.78,,4.83,,8.14,,6.67,3.84,10.89
September,,,,4.35,7.39,3.77,2.64,2.25,1.07,2.88,2.69,3.96,5.14,5.19,,8.4,,5.47,2.72,8.34
October,,,,4.81,6.49,3.39,3.72,8.27,5.04,8.51,6.85,4.54,,8.53,7.74,0.99,,8.45,12.67,4.1
November,,,,2.79,7.33,6.67,2.61,10.12,12.07,10.13,4.16,0.8,4.57,9.49,0.87,12.83,,3.4,8.42,8.83
December,,,,11.35,5.77,10.85,4.26,6.78,2.59,3.16,3.7,10.03,3.32,5.78,9.12,6.82,5.1,14.69,8.16,4.43
Total,,,,,55.66,60.96,50.23,58.01,63.24,,,,,,,68.37,,74.79,58.07,74.45
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
1940 Jan Feb estimated,,,,,,,,,,,,,,,,,,,,
1941 Feb-May no readings,,,,,,,,,,,,,,,,,,,,
1942 Mar May-Jul estimated,,,,,,,,,,,,,,,,,,,,
1943 Mar Aug Oct estimated,,,,,,,,,,,,,,,,,,,,
1944 Feb Mar estimated,,,,,,,,,,,,,,,,,,,,
"1945 Jan-Apr, Jul-Sep estimated",,,,,,,,,,,,,,,,,,,,
