HORSHAM WIMBLEHURST,,,,,,,,,,,,
,,,,,,,,,,,,
Station no,470,,,,,,,,,,,
,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,
January,3.33,2.90,3.85,1.67,2.36,3.45,4.10,2.29,4.47,1.33,4.24,
February,0.67,0.59,2.57,5.46,0.63,4.87,2.79,5.42,1.79,0.87,0.97,
March,1.81,1.64,2.34,2.90,1.79,0.56,0.31,3.73,2.04,0.01,1.62,
April,3.20,0.86,3.88,2.61,3.33,2.68,3.41,2.08,2.24,0.61,2.49,
May,1.03,2.35,0.81,3.29,4.17,3.21,1.59,1.00,1.41,2.13,2.72,
June,2.57,0.06,1.15,0.46,3.58,0.08,3.42,3.49,2.88,1.47,0.51,
July,5.27,0.20,4.52,2.03,4.70,4.22,1.55,4.20,2.00,2.12,2.31,
August,1.39,2.63,2.95,1.95,3.56,2.70,2.28,4.40,2.60,2.17,4.09,
September,4.26,0.75,1.71,1.83,3.85,2.72,0.59,5.56,1.19,0.40,3.14,
October,2.76,1.02,1.04,6.61,4.10,3.78,2.45,2.12,7.03,4.62,1.90,
November,1.72,2.09,2.03,1.77,3.06,3.58,6.65,3.62,2.85,7.71,5.54,
December,2.69,1.72,3.88,2.99,4.60,3.66,0.43,4.19,3.67,8.20,3.08,
Total,30.70,16.81,30.73,33.57,39.73,35.51,29.57,42.10,34.17,31.64,32.61,
Calc annual,30.70,16.81,30.73,33.57,39.73,35.51,29.57,42.10,34.17,31.64,32.61,
Difference,0.00,0.00,0.00,0.00,-0.00,-0.00,0.00,0.00,-0.00,0.00,0.00,
