HORSHAM WIMBLEHURST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,TQ179320 ,Long,-0.318438,Lat,51.075224,Elevation,195,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,470,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,,,,1.83,3.45,2.79,0.73,2.04,4.3,2.69,0.87,2.41,0.77,2.69,3.67,1.24,0.84,2.41,4.96,1.54,5.49,1.29,1.84,1.22,3.13,1.48,2.77,5.16,0.95,4.6,1.4,1.41,3.32,4.89,3.33,2.9,3.85,1.67,2.36,3.45,4.1,2.29,4.47,1.33,4.24,2.27,2.77,2.38,2.5,0.92,5.08,6.23,3.1,5.18,3,2.69,3.1,7.2,2.01,1.76,2.45,3.39,5.53,1.05,1.21,3.49,2.66,,,,,,,,
February,,,,,,,,,,2.64,0.88,0.02,1.14,3.31,1.86,0.23,0.35,3.28,1.28,2.75,6.03,1.93,1.65,1.53,3.72,0.75,2.84,1.37,1.25,0.5,4.56,1.65,2.57,1.35,4.79,5.4,4.99,1.04,1.3,2.5,0.67,0.59,2.57,5.46,0.63,4.87,2.79,5.42,1.79,0.87,0.97,2.14,0.64,2.63,0.06,3.91,2.31,4.8,0.91,1.72,3.52,3.66,0.78,2.02,0.75,1.9,2.82,2.16,1.36,1.53,5.13,6.87,0.9,,,,,,,,
March,,,,,,,,,,2.45,2.08,2.57,1.14,0.45,1.5,1.94,3.17,4.83,1.24,0.65,1.01,2.28,2.17,3.31,1.3,3.93,1.35,1.01,2.65,4.17,1.47,2,4.76,3.33,5.13,0.82,3.96,2.21,1.11,3.94,1.81,1.64,2.34,2.9,1.79,0.56,0.31,3.73,2.04,0.01,1.62,0.38,1.45,3.28,3.09,0.49,2.38,4.02,0.6,1.24,3.63,3.14,2.48,0.45,0.11,1.51,1.15,6.63,0.94,1.07,1.58,3.52,3.19,,,,,,,,
April,,,,,,,,,,1.86,2.27,0.63,1.16,0.04,3.16,2.12,0.52,1.87,0.96,2.9,0.91,2.36,0.98,2.49,1.75,1.67,0.69,4.04,2.5,1.56,2.14,1.59,0.08,3.26,1.48,1.57,1.54,2.56,4.55,2.45,3.2,0.86,3.88,2.61,3.33,2.68,3.41,2.08,2.24,0.61,2.49,4.06,2.31,0.66,2.68,3.38,2.2,3.02,0.05,2.68,1.57,1.84,1.71,1.43,1.99,0.87,2.33,1.8,2.08,1.62,2.56,2.76,1.76,,,,,,,,
May,,,,,,,,,,2.61,1.54,2.54,1.53,0.57,1.92,0.31,0.33,1.22,3.34,1.62,1.28,1.16,2.37,2.68,3.44,0.66,1.86,2.09,1.94,1.64,2.19,1.05,1.45,2.33,1.33,3.08,2.4,1.13,1.59,0.3,1.03,2.35,0.81,3.29,4.17,3.21,1.59,1,1.41,2.13,2.72,2.7,3.62,1.74,0.48,1.32,0.42,2.77,2.17,1.74,1.21,1.97,3.21,3.5,0.65,1.91,2.99,1.7,2.77,1.76,1.47,2.56,2.51,,,,,,,,
June,,,,,,,,,,0.59,2.98,1.82,3.24,0.92,2.24,0.29,3.15,1.45,1.33,1.58,3.23,1.92,3.07,3.36,0.94,5.18,1.87,1.74,2.91,2.71,2.77,2.27,2.75,0.45,0.34,0.83,2.29,1.92,1.85,0.8,2.57,0.06,1.15,0.46,3.58,0.08,3.42,3.49,2.88,1.47,0.51,1.74,1.47,1.52,1.19,3.67,3.48,1.05,0.68,1.14,0.27,2.88,0.13,1.66,1.63,2.87,3.56,3.26,3,0.87,1.67,2.16,1.33,,,,,,,,
July,,,,,,,,,,1.59,4.02,2.2,3.05,2.94,5.98,3.69,1.74,1.91,1.29,0.96,1.63,2.33,1.32,3.83,0.76,0.51,1.11,0.97,2.28,2.47,2.67,0.83,1.09,3.51,1.43,3.55,1.12,3.7,5.23,2.35,5.27,0.2,4.52,2.03,4.7,4.22,1.55,4.2,2,2.12,2.31,3.56,3.73,1.66,1.97,0.71,4.92,1.03,1.42,3.13,2.54,2.76,1.96,2.01,3.15,3.15,2.49,1.27,1.3,0.53,3.43,1.78,1.35,,,,,,,,
August,,,,,,,,,,2.42,2.98,5.08,3.08,0.75,2.48,3.23,2.74,3,1.46,0.58,2.04,1.96,4.53,3.87,1.78,3.48,1.19,2.06,4.1,2.55,2.61,1.31,7.29,1.42,1.28,1.99,3.11,5.72,1.4,2.89,1.39,2.63,2.95,1.95,3.56,2.7,2.28,4.4,2.6,2.17,4.09,4.84,0.41,0.89,2.38,3.66,0.43,2.03,1.55,2.86,0.24,4.52,2.95,1.3,1.94,1.97,5.72,0.79,4,1.32,2.71,5.35,2.94,,,,,,,,
September,,,,,,,,,,1.17,1.51,1.22,2.25,1.99,2.49,0.48,6.22,2.35,0.8,2.92,1.31,2.1,1.14,3.55,1.92,2.18,1.23,0.66,0.97,3.09,0.36,1.33,3.61,2.87,1.23,1.92,2.11,1.72,5.6,1.38,4.26,0.75,1.71,1.83,3.85,2.72,0.59,5.56,1.19,0.4,3.14,1.78,2.07,3.49,2.04,3.87,2.42,1.91,2.59,1.51,1.44,0.24,1.82,1.39,2.48,2.73,4.18,1.38,2.09,1.74,2.59,3.31,3.44,,,,,,,,
October,,,,,,,,,,6.84,1.28,7.74,4.52,4.08,3.42,4.02,3.86,0.67,4.17,2.03,1.93,3.79,2.38,7.56,2.07,1.47,4.98,5.21,2.02,6.26,3.1,5.37,3.46,4.51,1.65,3.29,5.74,4.05,1.78,0.56,2.76,1.02,1.04,6.61,4.1,3.78,2.45,2.12,7.03,4.62,1.9,0.47,6.64,1.72,2.29,4.66,1.65,3.23,3.39,5.87,3.99,1.04,4.84,4.62,3.67,3.71,0.98,0.55,2.22,8.67,0.55,1.4,3.58,,,,,,,,
November,,,,,,,,,,1.05,2.75,3.85,3.6,2.65,5.94,5.84,1.63,1.36,4.97,5.01,3.14,0.67,3.35,1.91,1.35,5.55,5.53,2.63,1.14,0.9,3.78,5.34,2.14,3.72,4.65,3,5.7,1.71,2.4,2.15,1.72,2.09,2.03,1.77,3.06,3.58,6.65,3.62,2.85,7.71,5.54,4.39,1.34,0.98,3.88,6.76,4.79,2.03,4.5,5.43,7.59,3.83,1.65,1.55,4.83,0.29,5.84,1.48,1.77,3.75,6.78,6.06,4.08,,,,,,,,
