WHALSEY,,,,,,,,,,
Grid ref,HU 54244 62647,Long,-1.019094,Lat,60.344229,Elevation,60,ft,,
Station no,RR8897,,,,,,,,,
,,,,,,,,,,
,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859
January,,,,,,,2.67,4.55,2.33,3.49
February,,,,,,,2.47,2.05,0.67,2.4
March,,,,,,,0,1.96,1.39,
April,,,,,,,0.57,1.57,1.24,
May,,,,,,,0.84,0.67,1.48,
June,,,,,,,1.38,0.59,1.92,
July,,,,,,,2.83,3.67,1.28,
August,,,,,,,1.7,0.85,1.05,
September,,,,,,,1.31,1.35,2.2,
October,,,,,,,1.77,1.38,4.86,
November,,,,,,1.88,1.4,2.01,1.33,
December,,,,,,1.47,2.23,3.17,,
Total,,,,,,,19.17,23.82,,
,,,,,,,,,,
Location Approximate,,,,,,,,,,
No Height given based ,,,,,,,,,,
on main village of,,,,,,,,,,
Salt Ness,,,,,,,,,,
,,,,,,,,,,
Station no,RR8897,,,,,,,,,
Midas,,,,,,,,,,
Hyd Stn,,,,,,,,,,
