MARGATE-BLOXHAMS-GREEN (CECIL SQUARE),,,,,,,,,,
Grid ref,TR354709,Long,1.3819898,Lat,51.388287,Elevation,37,ft,,
Station no,RR6923,,,,,,,,,
,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879
January,,2.61,4.86,1.97,1.03,2.62,,,,
February,,1.29,0.92,1.39,0.64,0.57,,,,
March,,1.04,2.72,1.15,0.78,0.47,,,,
April,,2.39,1.69,1.05,1.87,1.23,,,,
May,,0.6,1.18,1.02,0.62,1.76,,,,
June,,3.78,1.55,1.6,1.18,1.45,,,,
July,,2.83,3.48,1.2,0.77,3.48,,,,
August,,0.47,2.18,1.41,0.9,1.49,,,,
September,,3.5,1.39,1.38,3.44,2.02,,,,
October,,1.38,4.07,2.99,2.89,3.06,,,,
November,,0.79,5.69,1.8,1.4,5.42,,,,
December,,2.55,4.95,0.33,2.7,1.27,,,,
Total,,23.23,34.68,17.29,18.22,24.84,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
1871 Gauge moved to Observer's house,,,,,,,,,,
Note on TYR states that at some point before Aug 1873 the gauge was removed to a very bad place.,,,,,,,,,,
