MARGATE-BLOXHAMS-GREEN,,,,,,,,,,,,,,,,,,,,
Grid ref,TR354709,Long,1.3819898,Lat,51.388287,Elevation,35,ft,,,,,,,,,,,,
Station no,RR6923,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879
January,,,,,,,,,,1.76,0.87,,,,,,,,,
February,,,,,,,,,,1.75,1.67,,,,,,,,,
March,,,,,,,,,,2.23,1.45,,,,,,,,,
April,,,,,,,,,,1.39,0.27,,,,,,,,,
May,,,,,,,,,,2.83,0.8,,,,,,,,,
June,,,,,,,,,,0.55,0.54,,,,,,,,,
July,,,,,,,,,,0.18,1.3,,,,,,,,,
August,,,,,,,,,,1.15,0.85,,,,,,,,,
September,,,,,,,,,,2.57,2.15,,,,,,,,,
October,,,,,,,,,,2.3,3.53,,,,,,,,,
November,,,,,,,,,,2.05,1.84,,,,,,,,,
December,,,,,,,,,,2.05,3.81,,,,,,,,,
Total,,,,,,,,,,20.81,19.08,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
1871 Gauge moved to Observer's house,,,,,,,,,,,,,,,,,,,,
