SWINDERBY - LING MOOR,,,,,,,,,,,,,,,,,,,,,
Grid ref,SK876636,Long,-0.691,Lat,53.162,Elevation,50,ft,,,,,,,,,,,,,
Station no,2581,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932
January,2.99,2.25,1.37,2.67,1.10,2.67,1.73,1.80,2.01,2.02,2.41,,2.26,1.76,2.62,,4.37,2.03,2.99,3.10,1.01
February,1.31,1.07,1.06,2.81,4.16,0.73,1.66,2.69,1.94,0.29,3.20,,0.75,2.05,1.54,,1.67,0.64,0.68,3.25,0.91
March,2.45,2.76,2.24,1.16,3.93,1.61,1.32,3.13,2.79,1.15,1.96,,1.32,1.00,0.83,,2.22,0.28,2.52,0.39,1.47
April,0.26,2.09,0.96,0.80,2.07,1.66,1.80,2.15,4.64,1.34,2.66,,1.87,1.81,2.35,,0.84,1.36,2.90,3.33,2.52
May,2.94,2.20,1.82,2.28,2.09,2.23,1.95,1.23,1.14,2.07,0.91,,2.74,4.31,2.52,,1.98,1.20,1.46,2.79,5.16
June,3.98,0.66,2.53,2.83,1.65,1.52,0.94,1.01,2.30,1.53,0.91,,1.88,0.37,3.32,,2.47,1.89,1.56,5.05,0.73
July,4.05,0.60,3.00,5.33,1.87,1.45,2.54,2.67,2.90,0.55,4.62,,1.84,0.82,1.66,,1.13,1.15,4.14,4.12,5.64
August,5.33,1.25,1.40,2.94,4.41,5.97,1.84,3.07,1.01,4.13,4.03,,3.07,2.29,2.44,,2.53,2.29,2.52,4.80,1.99
September,1.03,1.60,1.50,0.75,1.68,1.33,3.28,2.46,1.87,0.96,2.56,,2.72,2.92,1.35,,0.41,0.48,4.27,4.14,1.75
October,2.17,4.14,2.16,1.23,1.82,2.74,1.77,2.27,1.18,2.35,1.45,,5.05,2.44,2.17,,4.40,2.98,2.50,0.85,3.53
November,2.38,2.58,1.98,2.38,3.03,1.23,2.20,2.39,1.12,1.60,1.24,,1.58,2.28,2.88,,2.90,4.86,3.25,2.73,1.92
December,2.75,0.60,4.55,5.16,2.17,1.01,3.18,3.60,2.45,2.16,3.37,,2.44,1.43,0.85,,2.35,4.07,2.15,1.55,1.08
Total,31.64,21.80,24.57,30.34,29.98,24.15,24.21,28.47,25.35,20.15,29.32,,27.52,23.48,24.53,,27.27,23.23,30.94,36.10,27.71
,,,,,,,,,,,,,,,,,,,,,
TYRain_1910-1919_16_pt1/120,,,,,,,,,,,,,,,,,,,,,
TYRain_1920-1930_17_pt1/108,,,,,,,,,,,,,,,,,,,,,
TYRain_1931-1940_15_pt1/180,,,,,,,,,,,,,,,,,,,,,
