RETFORD-WEST-RETFORD-HOUSE,,,,,,,,,,,,,,,,,,,,
Grid ref,SK699815,Long,-0.951991,Lat,53.325814,Elevation,63,ft,,,,,,,,,,,,
Station no,RR7229,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899
January,,,,,,,,,,1.23,1.93,0.88,1.21,1.13,1.64,3.36,,,,
February,,,,,,,,,,0.97,0.74,0.36,1.75,2.82,2.03,0.79,,,,
March,,,,,,,,,,1.18,1.6,1.1,0.86,0.5,0.47,1.59,,,,
April,,,,,,,,,,1.86,0.14,1.34,0.93,0.33,1.96,1.9,,,,
May,,,,,,,,,,2.93,1.93,3.25,2.58,1.48,1.42,0.93,,,,
June,,,,,,,,,,0.58,0.58,3.82,3.42,0.79,2.09,1.91,,,,
July,,,,,,,,,3.95,1.46,1.36,2.69,1.82,2.04,3.23,3.65,,,,
August,,,,,,,,,1.67,2.26,3.34,2.66,1.69,2.3,1.85,1.06,,,,
September,,,,,,,,,0.75,1.4,1.21,1.06,1.16,0.89,0.58,0.93,,,,
October,,,,,,,,,0.75,1.64,0.72,3.41,3.75,1.56,3.16,2.45,,,,
November,,,,,,,,,0.97,0.34,2.26,2.98,0.85,1.43,1.9,2.78,,,,
December,,,,,,,,,1.91,1.08,0.6,2.71,0.39,2.55,1.26,1.98,,,,
Total,,,,,,,,,,16.93,,26.26,20.41,17.82,21.59,23.33,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
1890 Jun - Gauge replaced,,,,,,,,,,,,,,,,,,,,
