DORKING-DEEPDENE,,,,,,,,,,,,,,,,,,,,
Grid ref,TQ172492,Long,-0.32283,Lat,51.229964,Elevation,300,ft,,,,,,,,,,,,
Station no,RR3162,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869
January,,3,4.73,3.08,1.93,0.5,2.7,3.75,1.95,1.8,3.8,0.83,2.13,3.6,1.13,3.85,5.9,3.65,3.33,
February,,1.08,0.87,1.07,0.85,1.18,1.33,0.17,1.13,1.98,1.47,2.92,0.67,0.85,0.93,2.8,5.08,1.78,0.77,
March,,3.8,0.38,1.3,0.27,1.25,1,1.03,0.4,1.4,2.23,3.43,4.13,0.7,3.62,1.28,2.03,2.35,2.5,
April,,1.77,0.4,2.78,0.23,0.3,3.8,1.52,2.5,2.8,2.97,0.87,2.5,0.5,1,0.25,2.3,2.25,1.98,
May,,0.68,2.25,2.62,3.22,1.6,3.2,0.75,2.35,2.52,3.15,1.3,3.67,2.05,1.68,2.45,1.6,1.35,0.72,
June,,1.1,3.75,2.08,1.7,1.1,1.67,1.55,0.65,1.28,7,2.68,2.93,3.03,1.55,1.45,2.95,1.97,0.25,
July,,3.32,4.57,4.65,1.8,5.02,1.35,1.05,3.12,3.1,1.95,3.35,1.5,1.27,0.47,3.05,2.2,3.35,3.6,
August,,1.25,4.95,3.15,1.1,1.1,3.33,3.4,1.68,2.5,4.35,1.05,3.22,1.63,0.88,5.12,2.8,1.7,2.2,
September,,0.05,3.15,2.93,0.78,1.13,3.2,4.45,1.45,4.82,3.2,2.77,1,3.5,3.82,0.15,5.2,2.4,2.9,
October,,2.83,5.12,5.5,2.55,6.35,2.18,5.05,1.82,4.6,2,1.38,4.8,3.62,1.78,8.58,1.6,2.53,2.75,
November,,0.82,6.4,0.83,1.5,2.27,1.05,1.3,1.08,3.65,2.08,5.45,1.13,2.37,3.8,4.67,2.15,0.53,1.45,
December,,0.78,2.45,0.45,2.3,1.95,2.75,0.93,2.35,2.78,3.23,1.35,2.27,2.08,1.17,0.65,2.35,1.52,7.05,
Total,,20.48,39.02,30.44,18.23,23.75,27.56,24.95,20.48,33.23,37.43,27.38,29.95,25.2,21.83,34.3,36.16,25.38,29.5,
