"SUDBROOKE MANOR LINCOLN",,,,,,,,,,,,
,,,,,,,,,,,,
Station no,2557/5,,,,,,,,,,,
,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,
January,,,,,,1.56,2.31,1.37,3.91,1.65,2.55,
February,,,,,,1.75,1.39,1.58,1.48,0.92,0.73,
March,,,,,,1.08,0.52,1.28,1.76,0.30,2.32,
April,,,,,,1.55,1.79,1.92,1.00,0.65,2.91,
May,,,,,,2.74,2.00,1.02,0.98,0.88,1.51,
June,,,,,,0.05,3.28,2.93,1.69,0.89,2.33,
July,,,,,,0.69,1.87,2.23,0.89,1.22,4.29,
August,,,,,,1.08,2.43,2.97,3.37,1.85,2.05,
September,,,,,,2.30,0.79,2.98,0.29,0.30,4.19,
October,,,,,,2.04,2.19,1.52,3.60,2.75,1.83,
November,,,,,,1.34,2.36,2.57,2.67,4.57,3.31,
December,,,,,,2.31,0.67,2.52,1.65,3.96,2.02,
Total,,,,,,18.49,21.60,24.89,23.27,19.94,30.04,
Calc annual,0.00,0.00,0.00,0.00,0.00,18.49,21.60,24.89,23.29,19.94,30.04,
Difference,NaN,NaN,NaN,NaN,NaN,0.00,0.00,0.00,-0.02,0.00,0.00,
