SUDBROOKE MANOR HOUSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,TF033761,Long,-0.452,Lat,53.272,Elevation,55,ft,,,,,,,,,,,,,,,,,,,,,
Station no,2557/5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953
January,1.56,2.31,1.37,3.91,1.65,2.55,2.68,1.17,1.51,1.88,1.76,3.48,3.25,1.82,3.87,1.87,2.39,2.63,3.24,2.21,2.11,1.44,2.19,3.78,1.01,0.91,1.67,1.42,0.92
February,1.75,1.39,1.58,1.48,0.92,0.73,2.49,0.66,2.55,1.07,2.24,2.42,1.99,1.23,0.74,2.05,3.12,1.51,0.48,2.08,1.79,2.26,1.55,0.63,0.38,3.46,2.34,0.47,1.29
March,1.08,0.52,1.28,1.76,0.30,2.32,0.47,1.55,2.66,1.77,0.51,0.96,1.71,0.29,1.70,1.62,3.10,1.12,0.36,0.29,0.67,0.98,3.54,0.34,1.08,0.67,3.01,2.33,0.76
April,1.55,1.79,1.92,1.00,0.65,2.91,3.05,1.86,0.85,2.36,2.54,1.65,2.73,0.09,1.36,1.17,0.76,1.08,1.11,2.42,1.42,1.43,1.56,1.26,1.68,2.19,1.06,0.99,1.64
May,2.74,2.00,1.02,0.98,0.88,1.51,2.55,4.79,1.99,0.96,0.23,0.70,3.55,3.05,1.17,0.54,1.70,2.59,2.01,1.53,2.30,1.32,0.55,1.93,1.94,2.18,2.72,1.35,3.04
June,0.05,3.28,2.93,1.69,0.89,2.33,2.80,0.59,1.51,1.00,2.24,3.82,0.77,0.96,2.96,0.79,0.27,1.24,1.59,1.79,2.36,2.12,2.01,3.42,0.55,1.50,1.03,2.10,1.86
July,0.69,1.87,2.23,0.89,1.22,4.29,4.72,2.48,1.05,1.78,0.33,4.04,4.87,3.29,2.96,4.18,3.59,2.16,0.93,1.74,1.85,1.97,1.44,1.45,3.36,2.40,1.44,0.47,2.23
August,1.08,2.43,2.97,3.37,1.85,2.05,3.89,2.06,0.24,2.71,1.24,1.40,0.89,2.01,1.78,0.82,3.29,2.09,1.83,2.40,2.50,3.74,0.08,3.02,2.11,1.84,5.28,1.70,1.36
September,2.30,0.79,2.98,0.29,0.30,4.19,3.09,1.63,1.66,2.07,5.50,1.98,0.84,2.16,1.70,0.84,0.60,1.64,2.86,2.79,1.17,2.81,0.80,1.83,0.57,4.46,0.94,2.07,1.08
October,2.04,2.19,1.52,3.60,2.75,1.83,0.84,3.56,3.13,0.97,2.93,2.32,2.17,2.18,3.32,3.50,2.95,1.83,1.17,2.68,2.45,1.29,0.18,1.51,3.33,0.59,1.62,1.69,2.26
November,1.34,2.36,2.57,2.67,4.57,3.31,2.84,1.70,1.76,1.75,3.80,2.23,1.47,2.63,4.29,3.93,2.65,2.01,1.46,4.01,0.50,4.35,1.16,0.75,2.38,4.08,3.84,2.29,1.01
December,2.31,0.67,2.52,1.65,3.96,2.02,1.25,0.80,0.45,3.94,2.84,1.25,2.57,3.88,1.75,1.99,0.44,1.93,0.59,0.98,1.45,2.43,1.93,2.75,1.47,1.47,1.37,1.29,
Total,18.49,21.60,24.89,23.29,19.94,30.04,30.67,22.85,19.36,22.26,26.16,26.25,26.81,23.59,27.60,23.30,24.86,21.83,17.63,24.92,20.57,26.14,16.99,22.67,19.86,25.75,26.32,18.17,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1920-1930_17_pt1/064,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1931-1940_15_pt1/141,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1941-1950_17_pt1/229,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1951-1960_15_pt1/231,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# The 1928 total has been increased by 0.02 compared to the sheet figure to match the sum of the months.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"# The December 1953 reading is an estimate for the month after operation of the station ended, and has been omitted.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# The observer and gauge moved to Reepham in December 1953.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
