MARLOW-HURLEY-HOUSE,,,,,,,,,,,,,,,,,,,,,
Grid ref,SU828837,Long,-0.80733895,Lat,51.54613,Elevation,105,ft.,,,,,,,,,,,,,
Station no,786,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,,,,,,1.83,2.83,2.08,3.73,0.92,2.89,1.25,1.35,1.89,1.62,0.84,4.18,4.08,2.73,4.25,2.76
February,,,,,,3.17,2.42,3.73,1.81,0.69,0.67,1.3,0.12,3.24,0.11,2.36,2.04,4.5,0.3,1.13,2.33
March,,,,,,0.74,0.15,2.56,1.43,0.04,1.18,0.1,1.32,2.85,2.01,0.53,1.8,2.93,0.23,1.13,2.34
April,,,,,,1.51,2.69,1.37,1.66,0.79,2.27,2.94,2.35,1.06,1.33,3.56,1.76,3.01,0.05,2.89,1.7
May,,,,,,2.75,1.89,1.15,0.85,1.86,1.72,2.67,4.65,1.75,0.62,1.21,0.63,3.19,1.76,1.45,1.56
June,,,,,,0,3.13,3.03,2.55,0.82,0.22,1.19,0.93,1.95,1.45,3.28,3.6,1.54,0.26,1.37,0.58
July,,,,,,4.56,2.18,2.59,2.28,0.68,1.88,4.25,1.72,1.55,1.07,1.06,2.21,1.58,1.27,2.38,2.05
August,,,,,,4.19,0.94,3.29,1.96,1.18,2.67,3.82,2.67,0.46,1.78,1.83,0.37,0.73,2.4,1.46,0
September,,,,,,2.83,1.79,4.82,1,0.73,2.72,1.82,2.5,2.5,1.8,4.21,2.3,2.37,1.78,0.53,1.22
October,,,,,,3.2,2.32,1.79,3.48,2.94,0.85,0.64,4.21,1.53,1.51,3.07,2.27,1.59,2.63,5.4,2.57
November,,,,,,2.02,4.68,3.4,2.33,6.26,4.21,2.98,1.46,0.84,1.86,4.16,2.98,1.12,3.27,4.93,6.44
December,,,,,3.16,2.16,0.45,2.99,2.05,4.21,2.86,0.71,0.35,0.41,7.54,2.95,1.88,2.79,3.32,1.5,0.82
Total,,,,,,28.96,25.47,32.8,25.13,21.12,24.14,23.67,23.63,20.03,22.7,29.06,26.02,29.43,20,28.42,24.37
,,,,,,,,,,,,,,,,,,,,,
NGR is Hurley House. Altitudes match. ,,,,,,,,,,,,,,,,,,,,,
900m from MARLOW-TEMPLE-HOUSE,,,,,,,,,,,,,,,,,,,,,
Jan and Feb 1940 estimated for snow but left in this record,,,,,,,,,,,,,,,,,,,,,
"August 1940 entered as a ""-"", which has been assumed to be 0. Nearby locations have readings of <0.1, therefore 0 is realistic",,,,,,,,,,,,,,,,,,,,,
