MARLOW-MANOR-HOUSE,,,,,,,,,,
Grid ref,SU825837,Long,-0.81166424,Lat,51.546173,Elevation,96,ft.,,
Station no,786/3,,,,,,,,,
,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,1.43,0.8,,,,,,,
February,,0.51,1.6,,,,,,,
March,,2.12,0.44,,,,,,,
April,,1.35,2.29,,,,,,,
May,,2.46,1.62,,,,,,,
June,,1.22,,,,,,,,
July,,0.42,,,,,,,,
August,,2.34,,,,,,,,
September,,2.76,,,,,,,,
October,,3.4,,,,,,,,
November,,2.85,,,,,,,,
December,1.4,2.81,,,,,,,,
Total,,23.67,,,,,,,,
,,,,,,,,,,
"NGR is Hurley Manor House as shown on OS maps. Altitudes match. 1950s record has an NGR of SU827837, which places the gauge 200m East closer to Hurley House.",,,,,,,,,,
