"HURLEY (MANOR HOUSE)",,,,,,,,,,,,
Grid ref,SU826836,Long,-0.810246,Lat,51.545260,,,,,,,
Station no,786,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,1.43,0.80,,,,,,,,,
February,,0.51,1.60,,,,,,,,,
March,,2.12,0.44,,,,,,,,,
April,,1.35,2.29,,,,,,,,,
May,,2.46,1.62,,,,,,,,,
June,,1.22,,,,,,,,,,
July,,0.42,,,,,,,,,,
August,,2.34,,,,,,,,,,
September,,2.76,,,,,,,,,,
October,,3.40,,,,,,,,,,
November,,2.85,,,,,,,,,,
December,1.40,2.81,,,,,,,,,,
Total,,23.67,,,,,,,,,,
Calc annual,1.40,23.67,6.75,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
Difference,NaN,0.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
