CROWDEN-HALL,,,,,,,,,,,,,,,,,,,,
Grid ref,SK071993,Long,-1.8944595,Lat,53.490364,Elevation,700,ft.,,,,,,,,,,,,
Station no,RR1848,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1840,1841,1842,1843,1844,1845,1846,1847,1848,1849,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859
January,,,,,,,,2.2,1.1,8.2,3.8,2.5,,,,,,,,
February,,,,,,,,4.3,8.2,2.4,4.4,3,,,,,,,,
March,,,,,,,,1.7,5.5,1.5,1.1,4.1,,,,,,,,
April,,,,,,,,4.7,2.6,3,4,1.8,,,,,,,,
May,,,,,,,,4.9,1,2.8,2,3,,,,,,,,
June,,,,,,,,3.1,6.8,1.7,3.4,6.3,,,,,,,,
July,,,,,,,,1.4,4.6,7.8,4.8,3.8,,,,,,,,
August,,,,,,,,3.5,7,5.4,3.2,4.2,,,,,,,,
September,,,,,,,,7.5,4.3,4.7,1.8,3,,,,,,,,
October,,,,,,,,5.1,8,7,6.5,4.9,,,,,,,,
November,,,,,,,2,6,3.1,5.1,7.8,2.7,,,,,,,,
December,,,,,,,2.8,6.1,3.7,5.1,1.3,0.8,,,,,,,,
Total,,,,,,,,50.5,55.9,54.7,44.1,40.1,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
NGR is Crowden Hall/ Altitudes match,,,,,,,,,,,,,,,,,,,,
"December 1851 reading is unclear, it is written as an 8 but in the position it would be if after a decimal point. 0.8 hase been used as this makes the totals match",,,,,,,,,,,,,,,,,,,,
