WITHERIDGE-(CANNINGTON),,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SS801140,Long,-3.7067,Lat,50.9131,Elevation,600,ft,,,,,,,,,,,,,,,,,,
Station no,1832,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925
January,,,,,,,,2.16,,,,,4.78,6.94,1.65,5.31,2.3,1.35,5.48,5.75,6.05,4.39,5.2,4.2,6.15,3.2
February,,,,,,,,2.13,,,,,3.02,0.97,3,5.32,7.26,2.06,2.67,4.03,1.59,0.28,5.45,9.79,1.14,6.79
March,,,,,,,,,,,,,6.65,5.12,7.91,0.91,4.1,3.91,1.68,5.38,3.76,3.12,4.32,1.91,1.96,1.2
April,,,,,,,,,,,,,1.02,3.78,2.04,1.46,1.67,2.78,2.28,3.13,5.85,1.26,4.14,3.19,3.67,4.26
May,,,,,,,,2.94,,,,,2.35,4.01,2.02,2.4,2.41,1.67,1.11,0.9,1.76,1.84,1.84,2.72,3.87,5.88
June,,,,,,,,3.02,,,,,5.87,1.77,2.19,1.7,2.58,4.52,1.9,0.89,2.53,0.48,1.42,0.66,2.81,0.05
July,,,,,,,,,,,,,2.41,0.73,4.34,4.52,1.28,2.43,4.76,1.99,6.07,1.22,3.83,2.93,5.39,3.94
August,,,,,,,2.75,,,,,,9.59,1.7,3.44,3.35,4.71,7.19,3.25,2.88,2.12,2.38,5.3,3.11,6.44,4.26
September,,,,,,,0.84,,,,,2.3,0.98,2.43,3.28,1.15,3.18,1.93,8.58,2.17,2.33,1.61,3.83,3.86,5.87,4.23
October,,,,,,,5.56,,,,,4.6,5.12,3.82,3.98,4.7,7.19,7.77,1.64,3.1,4.91,2.03,1.6,6.52,5.41,4.33
November,,,,,,,4.14,,,,,4.81,2.96,4.57,3.76,2.9,5.61,3.99,3.84,4.26,2.74,4.45,2.42,3.46,5.7,3.36
December,,,,,,,4,,,,,9.12,5.01,3.86,7.65,8.57,3.56,0.89,7.37,8.09,4.9,3.88,6.6,5.61,4.75,5.59
Total,,,,,,,,,,,,,49.76,39.7,45.26,42.29,45.85,40.49,44.56,42.57,44.61,26.94,45.95,47.96,53.16,47.09
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Location of 1906/7 gauge unknown but from 1911 at Cannington House which roughly fits distance to church in 1906,,,,,,,,,,,,,,,,,,,,,,,,,,
1926 Jan 1st Gauge moved to Vicarage,,,,,,,,,,,,,,,,,,,,,,,,,,
