MANCHESTER - observer T Hanson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SJ890911,Long,-2.16666667,Lat,53.41666667,Elevation,262,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,RR389,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1800,1801,1802,1803,1804,1805,1806,1807,1808,1809,1810,1811,1812,1813,1814,1815,1816,1817,1818,1819,1820,1821,1822,1823,1824,1825,1826,1827,1828,1829
January,,,,,,,,2.84,2.7,2.67,1.39,2.21,3.49,1.45,,,3.53,1.22,5.33,4.06,1.1,1.1,2.4,1.3,1.4,1.7,0.7,2.6,2.6,
February,,,,,,,,2.6,1.48,1.96,2.57,2.73,4.58,2.04,,,1.83,4.1,3.17,4.25,1.5,0.5,2.9,3.3,0.7,1.8,2.2,1,2,
March,,,,,,,,0.82,0.24,0.35,3.18,2.98,5.11,1.49,,,2.83,2.08,3.98,1.97,1.7,2.6,4.3,2.7,2.9,1,0.8,5,2,
April,,,,,,,,0.57,1.33,0.95,1.92,1.72,0.96,0.65,,,2.31,0.13,3.16,2.16,2.4,3.3,0.7,1.7,1.5,1.8,1.7,1.2,2.8,
May,,,,,,,,3.82,1.76,3.42,1.41,5.07,3.42,7.14,,,3.54,2.19,1.08,0.93,5.9,2.5,1.8,2.7,1.6,4.1,0.3,1.4,1.1,
June,,,,,,,,2,2.05,2.45,1.9,2.21,4.8,1.94,,,2.76,4.01,2.21,3.52,2.8,1.1,1.5,2.1,3.3,3.1,0.3,1.5,2.9,
July,,,,,,,,2.51,2.44,1.8,5.5,2.7,4.6,3.44,,,6.89,6.36,1.88,2.58,1.4,1.9,8.1,5.1,1,0.5,2.3,2.2,9.8,
August,,,,,,,,2.54,2.19,3.85,5,3.48,1.43,2.42,,,1.88,5.28,1.11,1.95,3.6,3.1,4,4.7,1.8,4.1,2.3,3.2,3.4,
September,,,,,,,,6.26,2.71,4.23,1.9,2.96,3.4,3.01,,,2.93,1.6,2.58,1.51,2.4,4.6,1.6,3.8,4.5,1.8,2.2,2.4,3,
October,,,,,,,,2.37,5.32,0.62,4.69,3.96,5.47,5.8,,,4.24,0.46,2.17,4.92,4.3,2.9,3.4,3,6.6,4.2,3.4,5,2.6,
November,,,,,,,,4.7,3.11,2.14,3.68,4.58,3.5,4.52,,,3.5,2.82,4.87,2.02,2.2,4.4,4.2,1.7,4.9,6.2,1.4,2.9,3.1,
December,,,,,,,,2.62,1.79,4.68,6.03,4.78,1,1,,,4,3.36,0.55,5.15,2.9,3.8,1.4,3.9,6.2,2.6,2.6,3.8,4.1,
Total,,,,,,,,33.65,27.12,29.12,39.17,39.38,41.76,34.9,,,40.24,33.61,32.09,35.02,32.2,31.8,36.3,36,36.4,32.9,20.2,32.2,39.4,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1819 May mistrancribed as 9.34 whereas it's .934,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Added as 0.93 then modified total to take into account rounding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hanson presented atmospheric weather recordings in varius issues of the Monthly Magazine where he gave location as  53 degrees 25 minutes N and 2 degrees 10 minutes W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGR for conversion of long/lat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
