RIVELIN V. HALLAM MOOR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SK243871,Long,-1.636167,Lat,53.380197,Elevation,1168,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,3115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,2.77,4.85,2.6,3.62,2.94,4.71,4.56,5.37,4.86,3.84,2.88,5.31,4.3,2.58,9.12,2.17,6,6.02,5.22,3.29,4,2.56,4.85,7.1,5.7,7.64,4.05,,,6.52,6.48,4.75,5.56,4.41,9.37,2.25,2.26,4.83,4.95,1.71,4.43,3.24,6.89,3.14,4.7,3.95,6.31
February,,,,,2.46,4.57,6.05,0.55,3.48,2.61,3.81,0.42,3.75,8.16,2.03,5.86,3.3,1.61,5.3,0.72,1.37,5.58,0.79,6.69,0.66,7,4.42,7.99,2.47,3.3,3.61,,1.64,3.38,3.29,5.12,7.36,4.06,3.54,2.52,7.04,4.53,1.56,2.66,3.11,3.31,1.95,3.96,6.4,0.36,3.36
March,,,,,4.52,1.57,6.23,3.38,2,5.49,2.94,3.05,2.25,2.68,1.01,1.91,2.13,4.97,3.59,0.31,4.11,0.36,3.07,3.25,3.96,1.96,3.58,4.64,1.65,3.19,3.21,,,2.08,0.75,1.2,1.87,6.66,1.99,2.09,1.65,6.21,2.58,2.72,2.85,4.36,2.03,3.77,4.1,2.28,2.74
April,,,,,1.8,1.32,2.54,2.28,1.41,2.36,5.27,1.18,3.93,3.44,2.39,3.63,2.25,4.11,1.48,1.57,3.9,5.26,5.08,1.46,3.36,3.67,1.93,2.69,0.48,3,2.93,2.74,2.06,3.21,3.01,2.54,1.94,4.35,2.79,4.03,4.64,2.19,2.64,3.41,0.79,1.46,2.39,0.35,1.25,4.5,2.59
May,,,,,1.97,1.51,2.45,1.55,2.57,1.77,3.62,1.42,0.98,4.88,4.66,4.29,3.56,1.45,1.34,2.25,2.16,3.16,6.2,2.21,2.28,0.54,2.12,4.01,3.17,2.17,1.25,3.82,4.31,3.41,4.03,3.76,3.13,3.16,1.95,2.68,2.22,4.57,3.13,2.61,4.68,4.21,1.01,1.77,4.25,1.49,2.2
June,,,,,2.82,1.42,2.83,2.27,1.31,1.04,4.79,0.26,1.67,1.18,2.23,0.11,3.45,5.36,4.32,1.77,1.85,4.99,1.15,2.5,1.41,4.31,3.97,1.67,3.37,2.84,0.79,0.91,1.28,2.99,3.24,4.36,6.28,3.28,5.27,0.91,1.77,1.33,2.32,3.31,2.93,3.72,4.9,2.15,5.34,1.76,1.78
July,,,,,3.38,5.68,2.77,1.32,3.94,4.34,5.64,1.12,4.53,4.84,4.57,1.83,4.58,2.47,1.31,2.34,6.62,5.86,5.01,3.17,2.78,1.43,4.7,4.24,4.61,7.95,3.18,4.88,3.91,1.93,3.92,2.22,3.46,2.61,1.7,4.37,2.82,1.69,1.91,4.21,3.96,1.77,7.57,3.84,6.79,2.85,5.38
August,,,,,1.61,3.26,1.93,6.64,1.9,4.09,1.3,5.71,7.7,3.94,5,3.32,3.68,4.23,3.56,3.4,4.13,7.7,2.56,0.92,2.08,2.16,2.28,1.74,2.25,3.08,1.17,4.76,4.12,4.37,3.4,2.86,5.05,0.47,5.21,2.3,3.88,5.12,2.58,4.29,7.93,1.15,7.45,7.84,3.27,1.03,5.35
September,,,,,2.49,0.84,1.83,1.56,8.7,3.43,1.87,0.91,3.71,4.47,4.59,3.57,2.45,6.61,0.53,1.91,5.91,5.5,3.51,1.87,2.62,6.22,4.97,1.64,3.33,2.29,3.11,0.49,2.53,4.73,5.91,2.19,6.7,2.02,2.47,1.9,6.24,2.46,4.81,2.59,4.7,2.07,5.2,6.79,4.38,0.13,4.66
October,,,,,3.14,2.18,4.85,4.92,2.9,3.69,2.79,2.52,1.31,3.36,6.35,4.57,4.22,4.18,5.46,4.82,5.16,1.57,6.81,6.41,5.45,8.91,5.39,3.78,7.64,4.68,4.93,5.24,5.32,2.66,4.43,7.82,2.08,0.96,2.66,4.2,2.06,1.27,7.46,2.4,6.32,3.28,2.53,3.44,3.87,3.63,8.7
