"ST IVES BUSSOW MOOR",,,,,,,,,,,,
Grid ref,SW500390,Long,-5.504405,Lat,50.198107,,,,,,,
Station no,1874,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,,,,,,2.84,,
February,,,,,,,,,,0.71,,
March,,,,,,,,,,4.61,,
April,,,,,,,,,,2.39,,
May,,,,,,,,,2.09,0.98,,
June,,,,,,,,,0.86,1.36,,
July,,,,,,,,,2.91,2.60,,
August,,,,,,,,,5.82,1.54,,
September,,,,,,,,,4.39,1.27,,
October,,,,,,,,,3.13,8.35,,
November,,,,,,,,,2.00,1.94,,
December,,,,,,,,,7.08,5.88,,
Total,,,,,,,,,,34.47,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,28.28,34.47,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00,,
