"KILMARNOCK, DEAN CASTLE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NS 43772 39397,Long,-4.482623,Lat,55.622988,Elevation,190,ft,,,,,,,,,,,,,,,,,,,,,,,
Station no,5233,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950
January,,,,,,,,6.37,10.05,1.75,5.29,5.07,7.08,3.75,5,2.83,4.13,4.08,6.35,3.63,2.71,0.74,5.37,4.65,5.29,4.44,4.73,3.09,7.81,5.7,
February,,,,,,,,2.88,4.05,2.38,0.25,4.09,0.08,3.88,0.65,5,1.69,4.94,1.96,5.33,1.7,2.61,1.61,5.16,1.86,6.21,2.77,0.4,3.77,4.31,
March,,,,,,,,2.96,2.52,1.44,2.32,1.16,2.84,2.48,2.34,2.7,2.66,0.78,4.16,3.71,5.04,3.38,2.11,2.5,0.62,3.19,2.87,3.31,3.82,2.7,
April,,,,,,,,3.8,1.6,1.58,1.7,2.37,3.36,2.89,3.49,3.04,1.16,1.81,1.16,2.39,2.07,1.84,1.95,3.4,3.74,1.6,2.32,,2.98,4.83,
May,,,,,,,,2.33,1.96,3.24,1.51,2.86,3.2,2.2,3.38,0.78,1.85,1.71,4.37,1.01,1.1,3.54,3.28,3.38,3.61,4.29,1.63,,1.75,2.27,
June,,,,,,,,5.66,4.83,3.45,3.09,5.68,1.53,2.18,2.29,4.22,1.76,3.41,5.19,2.27,0.97,1.43,1.25,3.65,3.8,4.79,2.45,,6.94,1.41,
July,,,,,,,,3.98,3.1,4.71,2.79,4.56,4.32,4.06,3.2,2.23,6.8,4.91,5.06,5.13,3.57,5.21,4.16,2.86,4.56,3.84,3.64,,4.19,2.15,
August,,,,,,,,4.08,4.17,7.16,6,1.41,2.44,3.86,4.29,2.13,4.78,3.45,3.19,2.68,3.26,5.35,5.77,5.09,3.89,2.36,2.4,,6.98,5.51,
September,,,,,,,,7.34,4.42,2.05,2.81,1.29,4.93,0.9,5,6.34,3.97,2.49,4.48,2.57,5.89,2.01,4.8,2.95,6.4,4.71,7.04,,7.23,2.7,
October,,,,,,,,5.7,8.15,5.6,6.11,3.45,6.14,2.96,7.3,8.46,5.25,3.11,10.5,1.52,4.65,4.38,6.35,7.99,5.57,6.54,0.41,2.17,6.95,6.59,
November,,,,,,,,5.16,6.25,6.62,5.24,7,3.8,1.85,1.45,4.46,4.07,0.66,6.38,8.86,5.11,2.67,1.04,3.38,6.82,0.48,5.86,7.36,4.07,5.06,
December,,,,,,,,0.95,4.3,8.24,4.01,5.02,7.34,1.69,5.8,3.16,6.03,2.95,2.51,3.45,5.97,2.36,5.29,3.24,5.25,3.41,3.63,2.67,5.3,9.01,
Total,,,,,,,,51.21,55.4,48.22,41.12,43.96,47.06,32.7,44.19,45.35,44.15,34.3,55.31,42.55,42.04,35.52,42.98,48.25,51.41,45.86,39.75,,61.79,52.24,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,5233,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Midas,13443,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hyd Stn,646940,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
