GLENKILN RESERVOIR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NX851776,Long,-3.801341,Lat,55.079505,Elevation,450,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,5025/7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,,,6.79,3.37,1.58,7.36,8.3,6.18,4.01,7.02,6.09,9.3,4.13,3.28,7.92,5.01,2.54,6.09,5.2,4.44,6.88,6.88,3.02,6.01
February,,,,,,,,,7.18,2.03,3.78,1.65,4.24,1.8,7.03,2.37,0.85,5.5,5.07,5.27,3.79,1.14,1.36,5.06,2.35,1.14,4.97,3.78,2.03,7.72
March,,,,,,,,,5.07,5.64,3.48,5.26,1.25,0.31,3.96,4.85,6.09,4.6,2,6.45,4.57,4.56,0.69,4.02,2.89,2.61,4.93,1.69,4.03,1.83
April,,,,,,,,,1.92,3.12,2.02,3.14,3.3,3.22,3.5,1.51,7.97,3.53,5.26,5.62,3.05,3.64,3.15,1.71,2.81,1.21,3.03,1.34,3.87,6.09
May,,,,,,,,,0.79,1.09,3.88,6.38,5.9,2.99,5.9,1.02,5.69,2.12,2.14,2.44,2.42,3.16,2.96,4.6,4.19,2.78,4.25,5.03,0.93,2.65
June,,,,,,,,,3.8,0.86,0.65,0.95,3.91,3.96,4.36,4.84,5.45,5.29,1.11,4.56,1.82,3.6,2.88,4.57,4.02,3.32,1.54,4.52,4.2,2.82
July,,,,,,,,,6.67,6.81,2.98,3.75,3.43,4.96,4.13,4,5.85,3.91,3.48,5.3,2.94,3.95,7.23,4.3,2.7,7.05,4,5.22,4.18,6.33
August,,,,,,,,,2.05,1.17,7.39,5.03,6.89,4.03,1.51,4.55,0.2,10.27,3.98,8.89,10.55,4.41,3.36,5.06,2.06,9.24,5.4,5.28,2.26,5.48
September,,,,,,,,,2.04,4.3,3.52,5.61,3.27,6.23,6.45,10.53,4.22,7.21,2.41,13.1,6.59,1.93,5.7,8.35,3.43,5.45,4.37,6.83,1.94,5.02
October,,,,,,,,,3.68,5.55,5.89,6.1,11.93,5.47,5.65,0.65,1.64,5.23,7.61,3.68,0.71,5.5,4.13,11.58,5.07,4.01,6.31,5.43,6.63,6.36
November,,,,,,,,,8.66,6.75,4.25,1.85,3.86,7.54,0.42,8.6,7.07,5.05,7.65,4.4,11.98,3,7.38,12.53,3.22,2.06,2.85,2.69,9.8,9.95
December,,,,,,,,,2.4,7.39,2.57,9.39,2.73,6.72,3.9,5.86,3.23,7.55,10.38,2.63,9.79,5.91,4.97,6.22,8.25,6.61,6.45,5.81,11.09,4.53
Total,,,,,,,,,51.05,48.08,41.99,56.47,59.01,53.41,50.82,55.8,54.35,69.56,55.22,65.62,66.13,45.81,46.35,74.09,46.19,49.92,54.98,54.5,53.98,64.79
