NORTON-IN-HALES,,,,,,,,,,,,,,,,,,,,
Grid ref,SJ703387,Long,-2.4434265,Lat,52.944858,Elevation,335,ft.,,,,,,,,,,,,
Station no,RR2015,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879
January,,,,,,,2.48,3.01,1.52,2.45,1.63,1.44,4.04,2.34,2.27,1.85,1.83,4.04,2.47,
February,,,,,,,1.72,0.9,1.59,2.48,1.1,2.36,3.13,0.63,2.41,1.09,2.72,2.63,1.64,3.13
March,,,,,,,1.44,1.57,1.79,1.03,1.37,0.89,1.84,3.45,1.01,0.51,2.24,2.82,0.71,0.8
April,,,,,,,0.82,1.57,1.03,1.65,1.41,2.83,2.81,0.63,1.47,0.65,2.76,2.1,2.74,2.72
May,,,,,,,1.46,1.47,1.2,4.98,1.34,1.77,2.1,2.25,1.47,2.2,0.99,3,6.31,3.46
June,,,,,,,3.95,1.81,0.42,0.8,0.62,2.48,5.4,2.4,0.5,2.8,3.05,2.77,3.55,5.26
July,,,,,,,2.16,3.29,0.2,0.61,1.15,3.23,4.72,2.33,1.36,5.64,2.36,4.86,1.22,3.04
August,,,,,,,5.98,0.98,2.42,1.64,1.29,1.72,2.92,2.79,3.14,3.27,3.26,5.7,5.47,4.88
September,,,,,,,6.47,2.33,1.8,4.92,1.05,4.33,3.66,2.24,3.49,3.64,5.91,2.39,3,2.12
October,,,,,,,1.86,3.4,2.47,1.89,2.66,4.08,6.47,3.76,2.26,4.49,2.21,3.45,3.42,1.13
November,,,,,,,1.41,1.66,1.54,1.94,3.25,1,3.35,1.3,3.51,3.58,4.42,2.76,2.43,0.9
December,,,,,,,1.49,2.4,4.38,2.96,2,1.49,4.16,0.66,2.49,1.09,5.15,3.07,2.32,1.06
Total,,,,,,,31.24,24.39,20.36,27.35,18.87,27.62,44.6,24.78,25.38,30.81,36.9,39.59,35.28,
,,,,,,,,,,,,,,,,,,,,
NOTES,,,,,,,,,,,,,,,,,,,,
"NGR is Norton in Hales Rectory, which fits the relationship with the church and the observer is Reverend Silver. Altitude might ba a bit low, 20ft.?",,,,,,,,,,,,,,,,,,,,
