ADDERLEY-RECTORY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SJ664399,Long,-2.5015868,Lat,52.955414,Elevation,290,ft.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,RR2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899
January,,,,,,,,,,2.96,1.66,1.33,4.16,2.62,2.25,3.67,1.63,3.98,2.53,1.77,0.29,0.37,2.12,3.78,1.99,1.78,3.83,2.36,1.18,0.5,3.23,1.71,2.68,1.24,2.32,3.28,1.19,1.19,1.32,3.97
February,,,,,,,,,,2.1,1.1,3.01,2.53,0.92,1.94,1.19,2.64,2.64,1.44,3.14,2.4,3.27,2.26,2.03,1.66,2.32,1.04,0.87,0.73,1.78,0.59,0.08,1.7,2.85,2,0.13,1.11,2.22,2.11,1.64
March,,,,,,,,,,1.5,1.83,1.22,2.85,3.03,1.09,0.59,2.35,2.75,0.7,0.94,1.4,2.7,1.79,1.09,2.45,1.62,2.63,1.72,2.13,2.15,1.35,1.41,0.98,0.45,1.15,2.85,2.97,2.18,0.79,1.39
April,,,,,,,,,,1.59,1.6,2.61,3.36,0.74,1.39,0.51,3.13,2.11,2.03,2.81,1.77,0.66,2.96,0.8,1.5,2.41,1.59,0.72,1.18,3.38,1.11,2.71,1.24,0.4,1.44,2.02,1.12,2.11,1.27,2.68
May,,,,,,,,,,4.68,1.56,1.72,2,2.21,1.56,1.76,0.63,2.42,5.43,2.49,2.53,1.64,1.83,1.31,1.14,1.94,6.31,1.73,0.76,2.61,2.41,3.43,3.24,1.93,2.67,0.86,0.54,1.46,3.31,2.96
June,,,,,,,,,,1.19,0.99,2.7,5.96,1.95,0.64,2.7,3.39,3.18,3.63,5.34,3.68,2.3,4.58,2.7,2.16,3.65,1.2,1.61,2.27,0.67,2.33,3.18,3.17,1.71,2.43,1.39,2.81,3.36,2.06,2.08
July,,,,,,,,,,0.85,1.37,3.87,5.16,3.08,1.68,4.96,2.36,5.61,1.08,3.43,7.62,2.25,3.57,2.63,2.49,0.53,3.09,1.06,5.57,3.03,3,2.03,2.51,2.53,2.6,3.64,1.87,0.73,1.17,1.78
August,,,,,,,,,,2.19,1.52,1.89,3.16,3.42,3.26,2.6,3.23,4.46,5.03,6.62,2.31,3.53,2.62,1.58,1.74,1.72,1.52,1.81,4,4.64,3.17,4.69,2.66,1.62,2.48,3.21,3.05,2.7,4.23,1.5
September,,,,,,,,,,5.04,1.66,4.59,3.72,2.35,3.3,3.47,5.13,2.89,2.84,2.4,2.76,1.79,2.09,3.66,1.76,3.68,2.67,2.78,1.04,3.01,1.1,3.44,3.55,2.28,0.22,0.47,3.6,2.86,0.91,2.71
October,,,,,,,,,,2.26,4.4,4.12,5.68,3.47,2.04,4.07,2.53,3,3.47,1.53,4.88,2.44,4.62,3.04,1.16,4.6,4.78,3.27,0.98,2.62,2.06,4.33,5.34,1.79,3.07,2.38,3.15,1.32,3.33,3.39
November,,,,,,,,,,2.82,2.57,1.18,3.38,1.57,4,2.4,4.29,2.79,2.58,0.83,3.03,2.16,4.74,3.2,1.75,3.35,2.23,1.17,4.51,1.28,5.81,2.42,2.03,1.51,2.23,2.56,1.49,2.47,1.8,1.32
December,,,,,,,,,,2.9,2.25,1.75,4.3,0.67,2.82,0.53,4.53,2.69,2.28,1.04,4.15,3.36,4.09,1.26,1.85,1.33,3.94,1.72,2.1,1.98,0.6,3.68,2.53,3.41,2.13,2.21,3.14,2.55,2.8,2.23
Total,,,,,,,,,,30.08,22.51,29.99,46.26,26.03,25.97,28.45,35.84,38.52,33.04,32.34,36.82,26.47,37.27,27.08,21.65,28.93,34.83,20.82,26.45,27.65,26.76,33.11,31.63,21.72,24.74,25,26.04,25.15,25.1,27.65
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NOTES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGR is Adderley Rectory.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
