NORTON-IN-HALES-SCHOOL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SJ702386,Long,-2.4449054,Lat,52.943954,Elevation,350,ft.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,2313,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950
January,,,,3.81,1.95,3.98,0.88,,,,,2.78,4.17,2.43,2.43,2.14,2.54,2.17,4.82,1.69,4.37,3.12,2.85,1.67,2.32,1.27,4.51,3.43,3.82,6.03,2.27,2.85,3.24,5.21,3.31,2.04,,,,,
February,,,,1.07,2.13,2.73,3.82,,,,,0.44,2.97,4.93,0.93,4.29,2.88,1.35,2.22,0.83,0.4,2.89,0.29,3.57,0.46,3.37,2.25,4.94,0.67,2.07,2.49,3.1,0.98,1.34,1.54,2.05,,,,,
March,,,,4.3,2.95,1.41,2.55,,,,,1.6,2.59,1.72,1.13,1.35,0.59,2.48,1.92,0.53,2.99,0.3,1.86,2.73,1.9,0.69,2.68,2.92,0.84,1.91,3.09,2.93,2.17,1.64,0.76,1.06,,,,,
April,,,,4.18,0.8,1.27,1.38,,,,,1.59,2.29,2.21,2.6,1.41,1.96,2.12,1.47,0.7,3.07,3.78,3.37,1.19,2.57,3.51,1.84,2.55,0.16,1.86,3.39,1.83,1.09,1.15,1.93,1.34,,,,,
May,,,,1.87,2.38,2.46,2.43,,,,,1.68,0.87,4.76,4.61,4.23,3.45,1.75,1.86,1.84,2.3,4.37,5.06,1.42,1.41,1.53,0.95,2.54,3.55,1.24,1.51,3.15,4.34,3.32,1.06,3.44,,,,,
June,,,,2.58,2.01,1.03,1.9,,,,,0.52,0.88,0.83,2.71,0.14,1.96,4.97,5.27,2.06,1.72,4.22,0.44,1.31,0.8,3.95,3.93,1.14,2.16,1.86,1.3,0.89,0.74,2.58,2.13,2.6,,,,,
July,,,,1.09,4.16,6.07,1.88,,,,,1.08,4.25,3.36,5.06,3.15,3.04,2.56,2.1,2.75,7.18,4.18,3.78,2.31,1.09,0.46,4.11,2.83,3.18,8.61,4.52,2.76,3.51,2.85,2.12,1.12,,,,,
August,,,,2.79,5.32,4.84,1.76,,,,,4.4,2.77,3.17,5.55,3.2,3.8,5.36,4.36,3.29,3.13,5.64,1.83,1.36,2.93,1.56,1.81,2.61,3.02,2.26,0.57,4.33,2.53,2.98,2.7,3.2,,,,,
September,,,,1.75,1.75,0.51,1.76,,,,,0.88,3.46,3.21,3.65,3.67,2.29,3.46,1.21,1.47,3.01,3.37,1.79,0.88,2.04,4.23,3.92,2.24,1.16,0.84,2.55,0.81,2.34,4.7,4.56,1.54,,,,,
October,,,,2.7,1.52,1.89,4.54,,,,,2.65,0.54,4.16,4.15,3.81,2.11,2.18,3.4,4.63,4.32,1.18,4.78,5.09,4.16,5.76,1.94,2.58,3.66,3.96,4.46,3.52,2.74,2.8,4.42,5.5,,,,,
November,,,,2.45,3.4,3.06,2.43,,,,,1.94,1.22,1.99,1.77,2.13,5.55,2.78,4.4,5.67,3.38,4.97,2.43,1.58,2.25,5.32,3.18,1.27,3.71,4.85,7.48,3.16,0.73,2.91,4.76,0.6,,,,,
December,,,,1.62,7.84,5.03,2.63,,,,,2.65,4.97,4.49,3.66,2.06,0.88,1.56,2.79,4.55,3.59,1.89,1.09,0.39,5.14,3.32,2.89,4.14,3.07,1.94,2.42,1.79,3.17,1.73,1.39,2.72,,,,,
Total,,,,30.21,36.21,34.28,27.96,,,,,22.21,30.98,37.26,38.25,31.58,31.05,32.74,35.82,30.01,39.46,39.91,29.57,23.5,27.07,34.97,34.01,33.19,29,37.43,36.05,31.12,27.58,33.21,30.68,27.21,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NOTES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"NGR is that given in the School records, but this looks to be 100 yards too far north. The school house (1913 to 1916) may be in a different location on the records it is shown as being 100 yards further from the church than the school, which may be correct or just a different estimate",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"There are 3 duplicate readings for the overlapping period of Raven House with the School, i.e 132 monthly readings, and randomly spread; probaby not suspicious",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
