BERKELEY GLOUCESTER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,ST685989,Long,-2.457071,Lat,51.687965,Elevation,60,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,2149,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,,,,4.76,1.83,1.74,4.27,3.83,3.17,4.18,1.31,3.5,0.87,2.87,0.41,1.48,2.43,2.87,3.21,2.05,3.83,2.11,0.58,0.93,3.34,3.47,0.98,1.55,2.66,3.55,0.58,1.98,0.38,4.41,4.29,1.67,1.46,3.96,4.04,0.67,4.36,1.58,1.23,1.35,2.49,0.61,3.46,5.12,0.97,3.27,2.52,1.05,3.79,4.15,4.7,3.28,3.67,1.56,4.17,2.98,4.42,3.55,5.62,1.02,4.88,1.71,4.14,2.79,2.47,0.63,3.72,3.28,3.54,5.75,2.77,4.18,2.25,5.63,2.22,2.3,3.68,1.95,4.91,0.87,0.61,3.66,2.13,,,,,,,,
February,,,,,,,,,,3.01,0.98,1.19,3.01,0.88,2.29,1.38,2.98,1.06,1.94,3.96,3.64,3.01,2.34,2.45,1.58,3.17,0.8,0.65,1.42,1.65,0.5,0.06,1.49,2.69,3.15,0.12,0.3,2.98,1.1,3.45,6.27,1.05,1.47,1.74,4.36,0.61,1.81,1.59,1.19,0.63,3.56,1.88,2.53,1.26,3.84,5.01,4.95,0.86,2.15,3.84,0.9,0.27,3.65,5.62,0.26,3.29,2.38,3.17,3.48,1.03,0.56,1.99,0.16,3.08,0.5,2.37,2.35,4.62,1.19,1.47,2,3.03,0.32,1.39,0.43,2.54,2.12,1.1,1.31,1.17,5.46,3.88,0.55,,,,,,,,
March,,,,,,,,,,0.94,1.41,1.33,1.97,2.85,1.18,1.39,2.49,1.21,1.03,0.75,1.27,1.23,1.04,0.59,2.43,0.72,2,1.62,2.93,4.56,0.85,2.1,0.62,0.29,2.42,2.53,2.76,3.84,0.54,0.84,1.12,2.41,1.57,4.24,1.43,4.3,1.39,0.72,2.91,3.32,0.8,1.92,4.67,4.12,4.12,0.91,4.12,2.37,2.17,4.98,3.5,1.58,3.41,2.04,1.28,0.46,0.39,2.77,3.76,0.31,2.42,0.65,1.96,2.78,1.96,0.6,2.97,2.52,0.28,1.45,2.02,2.49,2.41,1.16,0.6,1.57,1.15,6.6,1.4,1.17,1.66,3.31,2.2,,,,,,,,
April,,,,,,,,,,0.4,0.44,2.89,2.35,0.58,1.55,2.6,1.79,2.35,3.58,1.62,1.87,0.52,3.52,0.74,1.11,1.55,2.17,2.1,1.81,4.57,0.75,1.29,0.85,0.15,2.59,2.38,0.64,1.82,1.98,2.55,1.01,3.15,1.55,2.3,1.41,2.91,1.11,2.74,2.35,2.24,1.89,0.97,0.42,3.66,1.46,0.73,1.12,1.66,2.62,1.9,4.7,0.72,2.21,3.19,3.06,1.85,3.45,1.14,1.11,0.92,1.96,2.67,2.5,1.36,2.24,5.09,2.4,2.19,0.01,2.91,2.16,0.9,1.45,0.55,1.09,1.33,2.21,2.79,3.16,2.41,2.97,2.96,2.4,,,,,,,,
May,,,,,,,,,,3.62,1.41,1.17,1.23,2.16,0.37,2.63,0.31,1.81,5.72,2.98,1.26,1.37,1.94,1.36,0.55,1.76,4.65,1.92,1.98,3.82,2,4.95,1.18,1.57,2.58,0.62,0.27,1.65,3.26,2.2,2.05,1.21,1.64,3.71,1.99,0.2,1.91,2.37,1.67,1.03,1.56,1.41,2.02,1.89,1.64,3.6,3.59,3.5,1.48,0.16,2.5,1.72,0.6,2.06,5.84,3.49,2.29,1.25,0.69,2.25,1.7,2.9,6.1,2.79,1.32,0.9,0.59,2,2.88,0.67,2.64,2.28,4.39,3.15,0.59,2.71,4.71,2.71,4,3.31,2.57,2.37,4.14,,,,,,,,
June,,,,,,,,,,1.25,0.56,2.49,3.39,1.15,0.81,3.4,1.73,0.89,4.47,4.94,2.22,2.96,2.15,4.18,2.95,1.75,0.72,0.92,3.03,0.53,2.57,2.42,1.74,1.01,1.98,0.84,2.34,3.35,1.48,1.95,1.67,2.96,2.73,3.92,0.38,3.59,2.75,3.51,1.03,2.42,4.13,2.37,5.27,0.49,3.11,1.2,1.54,1.99,0.77,0.8,4.3,0.04,0.74,0.41,2.01,0,2.08,3.63,3.33,1.11,0.98,3.58,1.47,1.14,1.2,3.41,3.34,3,0.92,1.86,0.53,1.78,0.21,2.24,2.88,3.42,3.16,1.86,2.65,0.32,1.79,1.11,1.69,,,,,,,,
July,,,,,,,,,,0.69,0.79,5.33,5.31,2.91,1.26,5.03,0.91,2.03,2.9,2.36,4.95,1.94,6.35,3.1,3.04,0.76,2.94,1.29,5.62,2.14,2.92,2.32,3.06,2.29,2.59,3.13,0.9,1.38,0.75,0.61,0.98,2.35,1.11,3.1,4.04,0.6,0.74,2.35,2.22,2.03,2.14,0.25,5.08,0.61,5.32,4.22,1.56,2.07,4.2,3.46,4.7,0.42,4.69,2.02,5.17,3.57,3.48,5.07,1.7,1.88,3.31,3.88,2.06,1.47,1.58,0.65,5.45,3.5,3.06,6.09,5.48,3.38,1.69,1.51,1.79,1.47,1.51,2.99,0.69,0.86,3.83,0.88,0.84,,,,,,,,
August,,,,,,,,,,1.69,3.38,1.22,3.41,3.19,2.71,1.61,2.69,3.92,4.42,5.64,0.34,4.68,2.56,0.76,1.94,2.28,1.65,1.51,1.92,2.13,3.73,6.9,3.02,2.84,2.66,3.77,1.73,5.96,3.65,1.79,2.67,2.29,3.99,4.04,2.18,4.12,1.87,2.32,4.4,2.21,5.76,2.41,7.19,1.1,1.98,2.03,5.46,7.71,1.96,2.67,1.9,2.48,4.5,2.07,3.79,3.42,2.65,3.49,2.25,3.04,2.43,6.07,1.45,1.02,1.9,1.99,0.29,1.25,4.15,2.59,0.11,4.59,4.03,2.33,3.02,2.09,6.32,1.13,4.01,1.76,5.16,4.81,4.69,,,,,,,,
September,,,,,,,,,,4.01,1.85,6,1.55,1.77,4.29,3.24,4.93,2.45,2.57,3.33,3.08,1.39,3.13,4.69,1.29,4.2,2.65,3.32,1.02,1.83,1.25,1.53,3.05,0.62,3.21,1.37,6.27,3.04,1.49,1.76,0.53,2,1.39,3.85,1.98,1.24,0.67,0.71,2.74,3.58,0.36,0.8,0.61,3.27,1.31,1.28,0.75,3.48,9.19,2.05,2.9,2.16,1.89,2.5,4.73,4.14,0.71,5.45,1.22,0.39,3.55,2.44,3.88,3.13,2.14,5.57,3.06,1.88,0.99,1.29,1.76,0.92,3.31,3.54,3.55,3.1,4.23,1.58,2.99,2.67,4.09,3.45,2.21,,,,,,,,
October,,,,,,,,,,2.58,3.85,2.21,3.65,2.12,2.71,5.43,2.51,2.15,4.24,0.76,5.76,0.87,6.56,1.5,0.57,1.95,4.25,1.92,0.81,2.71,1.43,6.85,1.95,2.69,4.36,3.49,4.19,1.5,6.05,2.65,3.54,1.32,2.54,8.2,0.59,1.57,5,6.82,2.12,4.91,4.08,2.51,4.14,2.25,1.77,3.7,6.53,4.24,1.34,2.72,2.9,1.64,1.2,5.66,5.3,3.34,3.29,2.81,6.72,4.68,2.49,0.59,5.08,3.05,2.18,4.34,1.59,2.81,4.83,2.55,3.22,1.63,2.49,2.45,3.81,3.66,0.83,0.51,4.05,6.59,1.04,0.78,4.04,,,,,,,,
