LITTON (SHERBORNE RESERVOIR),,,,,,,,,,,,
Grid ref,ST594550,Long,-2.583639,Lat,51.292674,,,,,,,
Station no,1968,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,5.69,2.73,1.59,5.16,4.39,0.61,5.74,1.41,1.65,1.84,,
February,6.61,1.73,1.75,2.15,5.06,0.90,3.42,2.17,1.86,0.91,,
March,2.05,2.84,2.62,5.22,2.46,5.87,2.19,1.05,3.73,4.59,,
April,2.33,3.02,1.56,3.23,2.07,2.83,0.94,4.60,3.22,3.74,,
May,2.68,1.30,2.12,3.29,3.34,0.07,5.30,2.74,1.83,2.93,,
June,3.28,1.49,3.65,5.14,1.55,5.18,3.10,2.93,1.15,3.60,,
July,1.00,2.38,2.03,3.27,3.29,0.77,1.18,3.55,3.61,3.75,,
August,3.91,2.21,3.09,5.58,3.13,4.34,3.64,3.15,6.13,3.28,,
September,1.62,2.56,1.69,3.48,2.53,1.67,1.20,0.98,2.54,3.59,,
October,4.05,2.30,2.93,9.08,1.47,2.07,6.97,6.34,2.33,7.93,,
November,4.43,0.88,3.78,2.34,2.56,3.86,4.44,3.84,1.57,1.93,,
December,7.45,7.80,2.75,4.34,2.30,1.31,1.92,6.57,3.97,6.19,,
Total,45.10,31.24,29.56,52.28,34.15,29.48,40.04,39.33,33.59,44.28,,
Calc annual,45.10,31.24,29.56,52.28,34.15,29.48,40.04,39.33,33.59,44.28,,
Difference,0.00,-0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
