Rainfall at,LITTON (SHERBORNE RESERVOIR)
,
Station no,1968,
,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930
January,6.37,4.83,4.93,2.76,5.00,4.68,6.99,4.91,9.75,1.80,6.57,
February,2.05,0.36,6.29,9.96,0.63,6.65,2.82,4.91,3.85,1.87,0.76,
March,3.58,3.15,4.15,1.92,2.05,0.59,1.33,4.91,4.24,0.18,2.45,
April,6.29,1.41,3.77,3.32,5.40,2.78,3.57,2.00,1.69,0.98,2.60,
May,2.89,2.77,1.06,2.00,6.09,5.56,2.77,1.48,1.18,2.64,2.12,
June,3.84,0.35,2.49,0.79,3.79,0.00,3.15,4.41,2.51,1.64,0.54,
July,7.32,0.87,5.60,2.18,4.74,4.80,5.16,6.42,3.49,2.18,3.28,
August,1.59,2.54,4.17,5.39,5.13,4.65,2.89,6.66,4.05,4.40,7.17,
September,1.48,2.64,3.10,4.17,4.36,4.36,2.30,7.97,1.72,0.79,4.72,
October,3.20,1.22,1.71,6.08,7.25,5.36,6.26,3.50,7.79,7.30,3.93,
November,2.41,2.29,2.85,4.62,3.99,3.38,9.27,4.93,4.63,11.26,6.20,
December,4.16,2.96,6.00,4.85,5.80,5.39,0.65,3.85,4.44,9.74,4.68,
Total,45.18,25.39,46.12,48.04,54.23,48.20,47.16,55.95,49.34,44.78,45.02,
Calc annual,45.18,25.39,46.12,48.04,54.23,48.20,47.16,55.95,49.34,44.78,45.02,
Difference,-0.00,0.00,-0.00,0.00,-0.00,0.00,-0.00,0.00,0.00,0.00,0.00,
