KIRKSANTON THE CROFT,,,,,,,,,,
Grid ref,SD139807,Long,-3.3218123,Lat,54.21477,Elevation,35,ft,,
Station no,RR8714,,,,,,,,,
,,,,,,,,,,
,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899
January,,,,1.33,2.52,1.78,2.86,1.63,4.05,
February,,,,4.36,4.43,0.48,2.91,2.7,3.13,
March,,,,0.81,1.8,3.61,5.57,5,1.51,
April,,,,0.94,1.39,2.62,1.35,2.91,4.05,
May,,,,2.03,3.1,0.62,0.8,2.36,2.32,
June,,,,0.95,3.41,0.89,3.43,5.88,3.32,
July,,,,2.93,4.08,4.68,5.38,1.17,2.85,
August,,,,4.65,3.46,3.44,2.74,5.54,5.17,
September,,,,3.91,1.54,1.49,5.48,3.39,2.89,
October,,,,5.03,4.55,5.91,4.64,3.72,3.16,
November,,,,1.93,4.33,4.2,1.96,5.68,2.81,
December,,,,2.88,4,3.78,5.79,5.2,6.08,
Total,,,,31.75,38.61,33.5,42.91,45.18,41.34,
