"CHESTERFIELD LINACRE RESERVOIR",,,,,,,,,,,,
Grid ref,SK337725,Long,-1.496410,Lat,53.248453,,,,,,,
Station no,ZZ999,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,4.63,2.52,1.46,3.95,3.68,1.52,4.43,,1.52,1.64,,
February,4.09,1.48,2.16,1.97,4.91,1.81,3.21,,2.52,0.71,,
March,0.84,3.00,2.03,3.85,2.17,3.37,2.10,,3.88,3.51,,
April,1.27,1.77,3.18,1.97,1.63,2.41,0.87,,2.66,1.71,,
May,1.41,1.43,2.89,3.19,2.39,0.50,1.97,,2.64,1.70,,
June,3.28,1.43,1.39,1.17,1.08,3.29,2.09,,1.76,3.34,,
July,3.45,4.18,1.92,2.70,2.78,1.72,0.95,,2.19,3.30,,
August,4.65,1.11,4.71,5.66,4.01,4.03,1.56,,3.52,2.45,,
September,0.71,0.83,1.71,3.52,1.18,1.42,0.83,,1.85,2.20,,
October,2.97,2.20,3.13,6.75,0.51,1.74,6.33,,1.19,3.97,,
November,2.48,4.39,2.89,2.27,1.87,4.20,3.32,,1.48,0.58,,
December,4.42,6.34,2.59,1.73,1.52,0.62,2.98,,2.37,5.91,,
Total,34.20,30.68,30.06,38.73,27.73,26.63,30.64,,27.58,31.02,,
Calc annual,34.20,30.68,30.06,38.73,27.73,26.63,30.64,0.00,27.58,31.02,,
Difference,0.00,0.00,-0.00,-0.00,0.00,0.00,0.00,NaN,-0.00,0.00,,
