CHESTERFIELD LINACRE RESERVOIR (second gauge),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SK335723,Long,-1.4992,Lat,53.2471,Elevation,475,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,2717,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January,,,,,,4.44,0.97,2.75,0.77,3.78,4.63,2.52,1.46,3.95,3.68,1.52,4.43,,1.52,1.64,2.8,1.2,5.26,2.66,1.54,3.76,1.42,2.92,2.68,3.42,4.24,3.42,4.37,1.58,2.4,3.06,3.51,2.17,5.83,2.03,5.11,2.69,2.73,2.19,2.89,1.96,3.81,6.1,3.72,6.07,3.51,4.24,3.3,4.93,3.61,2.64,3.1,3.46,7.17,1.67,1.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February,,,,,,0.11,0.89,3.36,2.28,2.3,4.09,1.48,2.16,1.97,4.91,1.81,3.21,,2.52,0.71,3.88,1.69,1.87,1.35,2.27,4.3,4.6,0.57,2.21,2.2,2.82,0.25,3.56,6.1,0.98,4,2.17,1.8,3.65,0.78,0.65,3.61,0.44,3.92,0.52,3.41,3.01,5.3,1.07,2,2.73,3.81,1.17,2.02,2.29,2.71,3.86,3.44,2.23,1.54,5.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March,,,,,,2.51,3.1,3.31,1.34,1.3,0.84,3,2.03,3.85,2.17,3.37,2.1,,3.88,3.51,0.84,1.17,4.14,4.27,2.53,0.89,4.5,2.59,1.22,5.06,2.3,2.05,1.95,1.99,0.89,1.37,1.24,3.57,3.14,0.11,3.24,0.22,1.76,2.84,3.35,1.13,2.19,2.99,0.38,2.38,1.92,4.62,1.55,1,0.3,0.74,1.33,6.79,1.37,1.32,1.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April,,,,,,1.97,1.07,1.97,2.6,2.5,1.27,1.77,3.18,1.97,1.63,2.41,0.87,,2.66,1.71,3.04,1.36,0.58,3.22,0.91,1.03,1.31,1.64,1.53,1.94,5.75,1.45,3.81,2.61,2.36,3.08,2.11,2.33,1.09,1.22,2.73,4.36,3.37,1.03,2.5,2.94,1.76,2.25,0.2,1.93,2.46,1.56,1.73,1.67,2.37,1.88,1.32,3.18,1.73,2.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May,,,,,,0.54,0.32,1.41,2.38,3.08,1.41,1.43,2.89,3.19,2.39,0.5,1.97,,2.64,1.7,2.22,1.22,3.11,1.9,1.13,1.37,2.42,1.7,2.23,1.42,3.2,1.3,0.72,3.14,3.71,3.65,3.14,1.19,0.84,2.44,1.29,3.22,6.03,2.09,1.53,0.35,0.64,3.46,2.63,1.59,1.56,2.49,5.8,3.07,2.65,2.23,1.62,2.45,1.95,2.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June,,,,,2.24,2.1,2.25,3.2,1.6,2.01,3.28,1.43,1.39,1.17,1.08,3.29,2.09,,1.76,3.34,2.25,2.27,3.58,0.72,2.59,0.89,2.28,1.84,0.8,0.82,1.86,0.35,0.89,0.69,2.28,0.09,2.51,3.67,2.93,1.62,1.26,4,0.82,1.94,0.6,3.69,3.41,1.78,2.13,2.2,0.74,0.22,0.95,1.41,2.45,3.24,3.87,2.08,4.35,1.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,,,,,2.91,3.85,0.99,0.81,1.29,2.05,3.45,4.18,1.92,2.7,2.78,1.72,0.95,,2.19,3.3,2.77,0.05,4.55,1.27,3.69,4,1.35,0.95,3.3,3.03,3.59,0.49,3.66,4.37,2.99,1.11,1.77,2.03,0.94,2.06,5.93,4,4.46,1.48,1.4,1.04,4.15,2.79,3.49,5.31,2.92,4.28,1.91,1.74,3.37,2.15,2.67,1.82,1.33,4.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August,,,,,2.26,2.27,1.97,2.26,3.45,1.3,4.65,1.11,4.71,5.66,4.01,4.03,1.56,,3.52,2.45,4.7,1.39,5.4,1.57,1.46,2.46,1.43,4.66,2.01,3.04,0.73,4.05,7.5,3.7,2.75,3.29,3.14,3.55,2.98,2.12,3.17,5.97,2.3,0.49,1.81,2.45,1.27,0.59,2.16,2.3,0.41,3.34,2.75,2.13,2.88,3.12,6.14,0.57,4.68,1.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September,,,,,0.41,0.73,5.79,2.23,0.65,3.75,0.71,0.83,1.71,3.52,1.18,1.42,0.83,,1.85,2.2,0.43,1.83,1.56,2.04,1.26,0.77,1.12,0.78,6.58,2.54,1.56,0.81,2.59,3.4,2.99,3.04,1.6,4.51,0.33,1.19,4.93,3.72,1.92,1.22,1.82,3.86,3.02,1.3,2.03,1.5,1.71,0.4,1.7,3.64,5.27,1.01,4.18,1.91,2.06,1.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October,,,,,4.33,3.23,4.72,1.05,3.43,2.69,2.97,2.2,3.13,6.75,0.51,1.74,6.33,,1.19,3.97,2.65,2.34,3.42,3.63,2.59,1.4,3.47,3.43,1.28,2.85,2.07,2.88,1.12,2.3,4.84,3.44,2.84,2.21,5.5,3.98,3.39,0.84,3.79,5.4,2.42,4.85,3.3,2.99,4.17,3.72,4.63,3.26,2.12,2.27,3.91,5.15,1.23,0.54,1.99,3.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
