LINGFIELD-SEWAGE-WORKS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,TQ387450,Long,-0.016709,Lat,51.187405,Elevation,155,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,66/5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,,3.13,4.95,2.14,2.34,3.19,4.65,1.88,1.87,2.22,2.55,3.84,1.05,0.99,3.45,2.79,1.62,1.52,3.16,4.33,1.86,2.95,2.51,2.98
February,,,,,,,,0.87,1.54,2.16,2.87,0.78,2.36,0.8,1.97,2.72,1.71,2.72,1.35,5.85,6.72,0.8,1.81,2.31,1.57,,4.41,2.28,0.06,2.14
March,,,,,,,,0.47,1.26,2.65,3.32,2.19,0.4,0.04,1.45,1.24,5.69,1.02,1.06,1.27,3.82,3.03,0.43,2.55,1.31,1.01,1.09,1.61,2.17,1.8
April,,,,,,,,0.14,2,1.75,1.42,1.74,1,1.63,1.11,2.89,1.72,1.54,1.44,2.69,2.46,1.68,3.12,0.42,0.28,1.28,0.14,1.18,2.13,0.64
May,,,,,,,,2.52,1.49,1.9,1.84,3.44,3,0.34,1.68,2.7,1.84,1.89,1.62,1.35,1.87,1.35,1.32,3.65,4.21,0.35,1.44,2.15,0.51,1.51
June,,,,,,,,0.59,0.92,0.22,2.54,0.11,1.86,1.88,1.54,2.07,2.63,3.04,0.62,1.69,2.01,1.01,1.59,3.63,1.7,2.53,1.1,4.71,1.07,1.8
July,,,,,,,,1.95,3.08,3.66,2.24,1.77,2.61,1.59,3.85,2.3,1.35,1.07,0.43,2.82,2.52,0.8,3.2,3,0.25,4.22,3.61,2.44,1.6,3.24
August,,,,,,,,3.14,2.14,0.16,4.21,2.8,1.03,2.71,1.77,5.07,0.25,4.39,1.19,2.73,4.27,2.78,1.73,2.7,1.4,2.84,3.26,3.15,1.25,3.91
September,,,,,,,,2.72,0.96,1.29,0.71,2.3,1.8,2.73,1.82,3.32,1.44,1.57,0.86,2.68,2.55,2.74,4.47,2.38,2.34,2.69,2.86,6.4,0.07,4.45
October,,,,,,,,3.24,6.78,3.48,1.34,3.69,3.38,4.93,3.6,1.1,0.36,1.93,8.28,0.21,1.4,2.94,4.4,2.75,4.72,1.6,1.38,3.1,3.18,6.64
November,,,,,,,,3.28,5.62,7.52,3.58,1.63,1.67,4.81,0.23,4.94,1.19,1.83,3.05,5.84,5.84,3.93,1.62,5.7,1.13,0.97,3.64,1.73,2.92,5.98
December,,,,,,,,,1.44,1.55,2.13,3.31,2.16,2.8,3.84,2.99,2.38,4.66,1.57,2.06,2.76,2.68,0.89,2.07,2.58,3.83,1.98,4.12,6.12,3.95
Total,,,,,,,,,32.18,28.48,28.54,26.95,25.92,26.14,24.73,33.56,23.11,29.5,22.52,30.18,39.67,26.53,26.2,32.68,24.65,,26.77,35.82,23.59,39.04
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Inspection Exposure very good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1938 Dec marked as estimated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1954 Nov 10 Inspection Gauge sound but copper container missing Site satisfactory except tree 120ft away,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1956 Feb marked as estimated ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRC_ID 6828,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1938-1996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
