KINGSLEY-FRUIT-FARM,,,,,,,,,,,,,,,,,,,,
Grid ref,SU777391,Long,-0.88992,Lat,51.14603,Elevation,300,ft,,,,,,,,,,,,
Station no,744/6,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950
January,,,,,,,7.37,3.52,5.37,3.01,2.32,3.24,6.72,2.22,1.92,,,,,
February,,,,,,,4.96,0.52,1.33,3.29,2.98,0.4,1.54,0.75,2.13,,,,,
March,,,,,,,4.25,0.16,1.45,3.09,3.7,2.21,0.64,0.35,0.57,,,,,
April,,,,,,,2.33,0.07,2.22,2.18,1.65,2.05,1,1.44,1.61,,,,,
May,,,,,,,3.94,1.45,1.49,1.03,1.87,3.43,3.24,0.55,1.67,,,,,
June,,,,,,,1.61,0.59,1.26,0.6,1.55,0.33,1.25,1.68,2.07,,,,,
July,,,,,,,0.8,3.3,3.39,2.85,3.95,1.71,1.99,1.82,3.16,,,,,
August,,,,,,,0.91,1.08,1.67,0.28,5.53,3.2,1.87,1.07,1.22,,,,,
September,,,,,,,1.99,1.27,1.23,1.88,0.11,1.53,1.89,2.36,2.36,,,,,
October,,,,,,,3.81,3.15,4.78,4.41,1.12,2.95,3.69,4.54,3.43,,,,,
November,,,,,,,2.64,4.96,5.62,8.14,3.35,1.91,1.92,4.02,0.56,,,,,
December,,,,,,,4.42,4.01,2.19,1.64,1.94,4.06,1.98,3.01,3.67,,,,,
Total,,,,,,,39.03,24.08,32,32.4,30.07,27.02,27.73,23.81,24.37,,,,,
,,,,,,,,,,,,,,,,,,,,
1941 Mar Gauge moved 140yds W,,,,,,,,,,,,,,,,,,,,
1943 Hedge cut back to height of 3ft,,,,,,,,,,,,,,,,,,,,
1946 Terminated due to age of observer,,,,,,,,,,,,,,,,,,,,
