BOYNDIE (WHITEHILLS),,,,,,,,,,,,,,,,,,,,
Grid ref,NJ 64303 63857,Long,-2.599962,Lat,57.66318,Elevation,65,ft,,,,,,,,,,,,
Station no,RR3121,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899
January,,,,1.53,3.12,1.19,1.98,1.34,1.95,0.96,2.1,1.4,2.29,1.88,1.66,3.95,1.3,2,2.42,3.41
February,,,,1.93,0.85,2.02,1.09,0.61,2.6,3.06,0.9,1.05,2.17,2.88,2.57,1.38,1.01,0.72,2.33,
March,,,,2.4,2.87,1.92,1.07,0.92,3.02,1.37,2.68,2.6,1.03,0.46,0.33,3.06,2.05,3.5,2.28,
April,,,,1.19,1.14,0.82,1.17,2.05,1.71,1.81,1.16,0.44,1.29,0.73,0.87,1.29,1.24,0.92,3.07,
May,,,,1.95,1.8,2.8,2.81,1.65,1.05,0.62,1.65,3.19,3.09,1.33,4.69,0.47,1.77,1.27,3.29,
June,,,,0.91,0.91,1.05,1.34,0.55,1.81,0.63,2.71,0.52,1.95,1.78,1.37,3.46,2.24,3.75,0.98,
July,,,,4.37,2.64,1.87,3.67,2,2.76,3.83,3.5,6.17,3.16,3.46,3.95,3.49,2.35,1.96,0.97,
August,,,,3.44,2.94,3.19,2.12,1.45,1.55,4.57,2.74,4.79,3,3.32,3.75,2.79,2.31,2.58,3.1,
September,,,,2.74,0.54,3.46,1.38,3.54,1.38,1.73,1.98,2.17,2.69,4.88,0.75,1.85,4.58,3.6,2.45,
October,,,,1.94,3.73,2.65,1.51,3.62,2.79,2.45,4.63,1.78,6.69,2.62,2.61,7.91,4.37,1.77,3.34,
November,,,,1.35,4.25,1.99,2.95,2.69,2.38,2.25,5.31,2.71,1.35,3.61,0.51,1.4,1.19,2.17,2.95,
December,,,,2.45,1.33,2.44,3.34,3.43,1.19,1.7,1.41,2.03,1.06,1.94,2.27,3.79,5.44,2.7,3.48,
Total,,,,26.2,26.12,25.4,24.43,23.85,24.19,24.98,30.77,28.85,29.77,28.89,25.33,34.84,29.85,26.94,30.66,
