WILMSLOW,,,,,,,,,,
Grid ref,SJ848812,Long,-2.2296786,Lat,53.327496,Elevation,250,ft.,,
Station no,RR1956,,,,,,,,,
,,,,,,,,,,
,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899
January,,,,,,,,,,3.22
February,,,,,,,,,,1.4
March,,,,,,,,,,1.84
April,,,,,,,,,,3.27
May,,,,,,,,,,2.24
June,,,,,,,,,,1.99
July,,,,,,,,,0.58,1.39
August,,,,,,,,,5.35,1.62
September,,,,,,,,,0.7,3.96
October,,,,,,,,,3.76,3.07
November,,,,,,,,,2.25,1.69
December,,,,,,,,,3.74,2.61
Total,,,,,,,,,,28.3
,,,,,,,,,,
NGR is 0.25 miles NE of previous location as described in the record. Altitude is from OS map. NGR could be +/- 500m,,,,,,,,,,
