WILMSLOW-SOUTHSIDE-NO-2-GAUGE,,,,,,,,,,,,,,,,,,,,
Grid ref,SJ845810,Long,-2.234173,Lat,53.325689,Elevation,255,ft.,,,,,,,,,,,,
Station no,RR1956,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899
January,,,,,,,,,,1.12,3.4,2.64,3.4,1.26,2.34,2.34,1.16,1.41,1.88,
February,,,,,,,,,,1.89,0.47,0.21,2,3.2,3.73,0.3,1.77,2.76,2.15,
March,,,,,,,,,,3.87,2.95,1.77,1.2,0.68,2.45,3.17,4.04,2.75,0.92,
April,,,,,,,,,,2.29,0.67,2.3,1.23,0.58,1.81,1.81,1.35,2.25,1.88,
May,,,,,,,,,,2.72,2.51,3.19,3.16,1.87,2.22,0.97,0.45,2.21,3.26,
June,,,,,,,,,,0.81,2.93,1.66,3.34,2.03,2.89,2.48,3.23,5.28,2.7,
July,,,,,,,,,,3.96,2.73,1.81,2.99,4.3,2.62,5.35,1.48,1.9,,
August,,,,,,,,,,5.37,3.45,5.56,3.39,3.08,4.36,3.4,2.72,3.33,,
September,,,,,,,,,,2.94,0.73,3.01,3.11,2.67,1.18,1.23,5.73,4.23,,
October,,,,,,,,,,2.81,2.37,4.99,4.31,2.49,2.97,3.32,4.26,1.68,,
November,,,,,,,,,,1.86,5.47,2.14,2.03,1.99,2.37,2.99,1.37,4.72,,
December,,,,,,,,,,2.17,0.31,5.16,2.29,3.46,2.71,3,4.04,3.53,,
Total,,,,,,,,,,31.81,27.99,34.44,32.45,27.61,31.65,30.36,31.6,36.05,,
,,,,,,,,,,,,,,,,,,,,
NGR is in Wilmslow at stated relationship to church and at the stated altitude. NGR could be +/- 500m. Gauge move 0.25 miles NE at the beginning of July 1888.,,,,,,,,,,,,,,,,,,,,
The readings for Jan to May 1898 inclusive are the same as Wilmslow Parkside. The inspector has commented on this and states that the observer denies any contact. Readings left in this record,,,,,,,,,,,,,,,,,,,,
