WILMSLOW-SOUTHSIDE-NO-1-GAUGE,,,,,,,,,,,,,,,,,,,,
Grid ref,SJ845810,Long,-2.234173,Lat,53.325689,Elevation,255,ft.,,,,,,,,,,,,
Station no,RR1956,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889
January,,,,,,,,,3.47,1.34,1.65,0.56,2.44,3.67,3.82,1.83,5.34,2.32,1.58,1.19
February,,,,,,,,,0.92,4.77,2.26,4.73,2.3,2.11,1.92,2.39,0.74,0.72,1.2,1.82
March,,,,,,,,0.2,1.61,1.36,1.58,3.48,2,1.14,2,1.6,2.26,1.7,1.71,3.46
April,,,,,,,,2.65,1.05,1.88,2.59,1.34,2.82,1.79,1.04,2,1.77,1.87,1.81,2.16
May,,,,,,,,2.98,4.47,1.43,2.29,3.11,1.16,1.32,1.63,2.03,4.65,2,0.63,2.65
June,,,,,,,,1.71,3.22,4.36,3.85,2.54,5.83,4.01,1.38,3.66,2.03,1.18,3.14,0.64
July,,,,,,,,5.64,1.01,4.53,7.08,2.7,5.18,2.82,3.92,1.59,3.39,0.94,5.55,4.09
August,,,,,,,,5.18,4.91,5.55,2.83,4.41,3.29,2.57,1.36,1.65,1.97,1.5,3.76,5.59
September,,,,,,,,1.78,4.42,3.3,3.55,2.35,2.32,4.67,2.61,3.7,3.43,3.44,1.23,3.02
October,,,,,,,,3.88,3.34,1.89,3.12,2.77,3.8,5,2.14,5.19,5.73,2.54,1.53,2.71
November,,,,,,,,4.24,2,1.03,3.62,3.08,6.07,3.5,1.68,2.71,2.74,1.32,4.42,2.03
December,,,,,,,,3.86,3.08,1.34,5.17,3.69,4.74,2.35,3.44,2.1,4.57,2.81,2.41,2.37
Total,,,,,,,,,33.5,32.78,39.59,34.76,41.95,34.95,26.94,30.45,38.62,22.34,28.97,31.73
,,,,,,,,,,,,,,,,,,,,
NGR is in Wilmslow at stated relationship to church and at the stated altitude. NGR could be +/- 500m,,,,,,,,,,,,,,,,,,,,
