BATTLE-OAKHURST-ROAD,,,,,,,,,,,,,,,,,,,,
Grid ref,TQ750170,Long,0.48870978,Lat,50.925912,Elevation,275,ft,,,,,,,,,,,,
Station no,553/2,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,,,,1.27,4.55,3.57,1.29,1.98,5.13,5.58,,,,
February,,,,,,,,,,5.54,7.35,1.42,2,2.88,2.14,1.73,,,,
March,,,,,,,,,,1.88,4.87,3.24,0.3,4.31,1.85,0.69,,,,
April,,,,,,,,,,2.31,2.31,1.58,2.21,0.45,0.36,1.4,,,,
May,,,,,,,,,,1.1,2.52,1.76,1.37,2.14,4.7,0.52,,,,
June,,,,,,,,,,1.22,1.38,1.15,2.06,2.89,1.87,2.8,,,,
July,,,,,,,,,,2.32,2.01,0.7,3.63,4.85,1.14,2.91,,,,
August,,,,,,,,,,2.87,5.33,5.96,2.49,4.21,1.81,4.57,,,,
September,,,,,,,,,,3.66,3.82,4.53,3.64,3.72,2.49,3.97,,,,
October,,,,,,,,,,1.22,2.94,3.76,2.53,2.95,5.59,1.59,,,,
November,,,,,,,,,,7.24,6.49,4.56,1.77,6.98,1.54,0.96,,,,
December,,,,,,,,,,2.79,3.25,4.57,0.75,2.33,4.41,4.47,,,,
Total,,,,,,,,,,33.42,46.82,36.8,24.04,39.69,33.03,31.19,,,,
