BULFORD-MANOR-HOUSE,,,,,,,,,,,,,,,,,,,,
Grid ref,SU164436,Long,-1.7667014,Lat,51.19139,Elevation,242,ft,,,,,,,,,,,,
Station no,RR7626,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919
January,,,,,,,4.02,0.79,2.14,0.99,3.41,,,,,,,,,
February,,,,,,,2.12,1.83,1.34,0.49,3.65,,,,,,,,,
March,,,,,,,1.01,0.74,4.23,3.83,0.86,,,,,,,,,
April,,,,,,,0.99,3.37,2.76,1.62,3.34,,,,,,,,,
May,,,,,,,2.17,2.8,1.75,1.59,1.88,,,,,,,,,
June,,,,,,,2.05,1.68,0.86,4.28,3.11,,,,,,,,,
July,,,,,,,0.57,1.46,1.96,2.56,1.64,,,,,,,,,
August,,,,,,,0.97,2.19,3.51,3.12,2.11,,,,,,,,,
September,,,,,,,0.86,0.41,1.7,3.29,0.22,,,,,,,,,
October,,,,,,,5.52,7.87,1.19,4.72,3.61,,,,,,,,,
November,,,,,,,3.12,2.57,1.15,0.74,3.56,,,,,,,,,
December,,,,,,,2.32,3.29,2.82,3.85,5.38,,,,,,,,,
Total,,,,,,,25.72,29,25.41,31.08,32.77,,,,,,,,,
