BULFORD MANOR HOUSE,,,,,,,,,,,,
Grid ref,SU164436,Long,-1.766701,Lat,51.191390,,,,,,,
Station no,RR7626,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,,,4.02,0.79,2.14,0.99,,
February,,,,,,,2.12,1.83,1.34,0.49,,
March,,,,,,,1.01,0.74,4.23,3.83,,
April,,,,,,,0.99,3.37,2.76,1.62,,
May,,,,,,,2.17,2.80,1.75,1.59,,
June,,,,,,,2.05,1.68,0.86,4.28,,
July,,,,,,,0.57,1.46,1.96,2.56,,
August,,,,,,,0.97,2.19,3.51,3.12,,
September,,,,,,,0.86,0.41,1.70,3.29,,
October,,,,,,,5.52,7.87,1.19,4.72,,
November,,,,,,,3.12,2.57,1.15,0.74,,
December,,,,,,,2.32,3.29,2.82,3.85,,
Total,,,,,,,25.72,29.00,25.41,31.08,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,25.72,29.00,25.41,31.08,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,-0.00,0.00,0.00,0.00,,
