WHITMINSTER THE JUNCTION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SO756093,Long,-2.355099,Lat,51.781826,Elevation,32,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,2162,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January,,2.84,1.14,1.69,2.43,3.23,0.6,2.3,0.46,4.53,3.44,1.48,1.25,4.1,3.47,0.88,4.83,1.58,1.05,0.93,2.08,0.74,3.9,4.59,0.82,3.09,2.09,1.19,2.4,4.44,4.29,3.23,3.41,1.91,3.8,3.03,3.94,3.7,5.32,0.78,5.48,1.66,4.13,2.88,2.39,0.71,3.37,3.38,3.72,5,2.62,3.35,2.52,5.9,2.54,1.98,3.22,1.93,4.33,1.03,0.41,3.77,2.51,0.83,1.95,2.75,3.82,3.46,2.57,5.68,5.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February,,0,1.28,3.09,2.8,0.1,0.31,2.73,1.15,3.49,6.4,1.17,1.32,1.81,4.03,0.73,1.38,1.22,0.9,0.46,3.3,1.52,2.51,1.26,3.39,4.81,4.51,1.2,1.51,3.17,0.79,0.29,4.16,5.27,0.32,3.82,1.98,3.43,2.99,0.78,0.52,1.83,0.19,3.02,0.48,2.33,2.1,4.01,0.91,1.31,2.5,2.86,0.57,1.51,0.52,2.59,2.12,1.22,1.3,1.24,5.84,3.59,0.52,1.47,2.96,1.53,0.55,3.87,4.73,0.33,2.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March,,1.87,0.77,0.2,2,2.24,2.5,3.62,0.32,0.63,1.02,2.41,1.32,4.09,1.54,4.25,1.52,0.7,3.06,3.04,0.77,1.96,4.81,4.31,3.95,1.19,4.01,3.07,1.64,5.02,3.23,1.67,2.47,2.32,1.37,0.44,0.32,2.96,2.68,0.2,2.1,0.67,1.87,2.86,1.67,0.68,2.44,2.72,0.11,1.48,1.93,2.74,3.15,1.18,0.37,1.62,1.21,7.32,1.31,1.21,1.63,3.51,2.07,0.88,2.95,1.61,0.42,2.77,1.12,2.39,1.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April,,1.31,1.09,0,2.15,2.57,0.73,1.45,1.98,2.24,1.29,2.75,1.61,1.78,1.26,2.34,0.85,3.01,2.37,1.98,1.9,0.82,0.13,4.22,1.38,1.16,0.96,1.9,2.64,2.02,4.51,0.86,3.21,2.75,3.08,1.67,3.75,1.04,1.05,0.81,2.11,2.62,3.23,0.98,2.36,4.27,1.98,2.28,0.08,3.17,1.69,0.96,1.61,0.68,1.17,1.3,2.93,3.08,2.9,2.35,2.42,2.93,2.32,3.01,0.23,0.89,2.14,0.08,0.88,3.09,1.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May,,3.74,1.01,1.76,2.18,0.39,0.24,1.29,3.55,2.04,2.34,0.97,1.87,4.05,1.75,0.21,2.09,1.76,1.65,1.24,1.31,0.99,2.69,2.09,1.75,2.88,2.74,3.39,1.48,0.46,2.08,2.06,0.55,1.77,6.64,3.71,2.46,1.14,0.77,2.37,2.57,3.6,6.3,2.09,1.35,0.8,0.85,1.72,1.84,1.02,2.81,1.67,4.08,2.99,1.13,2.74,3.9,2.32,3.56,2.69,2.54,2.9,3.23,2.38,2.39,5.3,0.81,1.54,2.76,1.09,1.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June,,1.66,1.89,1.06,2.36,0.86,2.46,2.95,0.87,1.53,1.98,2.74,3.05,3.73,0.93,3.75,3.34,2.59,0.75,2.14,4.03,2.64,6.23,0.49,2.91,0.88,2.05,2.54,0.78,1.45,2.85,0.27,0.77,0.42,2.83,,1.75,3.11,2.6,1.51,0.55,4.29,1.61,1.65,1.12,3.58,2.92,1.87,0.79,2.06,0.62,1.44,0.34,1.96,2.8,3.47,3.14,1.68,2.57,0.51,2.09,0.64,3.41,2.23,4.56,2.71,2.81,1.44,3.94,2.79,1.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,,2.22,2.78,2.68,2.3,2.74,0.71,1.21,0.66,0.72,1.95,1.66,0.97,2.84,2.78,0.68,0.79,3.26,1.93,2.22,2.04,0.05,5.49,0.73,4.22,5.01,1.59,2.89,3.48,3.45,4.23,0.39,5.57,1.64,4.81,3.22,2.44,4.16,2.18,1.66,3.24,3.51,2.48,1.55,1.32,0.47,5.48,3.41,3.19,5.49,4.44,1.91,1.95,1.13,1.98,1.58,0.99,2.69,1.02,1.45,3.52,0.57,0.99,2.91,3.03,0.24,2.8,3.2,2.65,1.99,3.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August,,5.9,3.35,2.02,3.68,3.62,1.42,4.92,2.84,2.34,3.2,2.32,2.88,3.35,1.94,3.38,1.2,1.84,3.73,2.09,5.16,1.51,7.51,1.05,1.65,2.52,4.72,7.72,1.64,2.67,1.35,2.97,4.46,2.41,3.34,2.69,2.39,5.45,3.35,2.3,2.51,4.73,3.69,0.7,1.58,1.47,0.38,1.15,3.25,3.11,0.18,4.38,4.71,2.17,2.86,2.04,4.99,1.06,4.25,1.68,4.2,4.93,4.82,3.49,3.6,0.9,3.5,2.65,3.16,1.44,3.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September,,1.43,2.58,0.93,2.99,1.08,6.62,2.77,0.94,1.7,0.72,1.98,2.6,2.89,1.97,1.75,0.56,0.49,2.35,3.49,0.51,1.02,0.78,3.15,1.12,1.87,1.17,3.93,7.59,2.11,3.09,2.01,1.38,2.44,4.76,4.25,0.5,5.26,1.07,0.25,3.65,2.58,3.48,2.5,1.86,4.48,2.79,2.24,1.79,1.13,0.83,0.9,2.26,2.26,2.79,2.18,3.53,1.84,2.94,3.27,4.05,3.32,1.68,3.41,3.31,0.79,3.26,3.3,5.8,0.12,4.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October,,6.65,1.89,1.71,4.01,3.02,3.56,1.45,4.62,2.39,3.24,1.1,3.16,7.65,0.57,1.7,5.11,5.94,1.97,4.72,3.7,3.41,3.64,3.19,2.17,3.7,6.44,4.14,1.24,2.63,2.4,1.69,1.54,6.2,5.1,3.38,2.98,2.15,6.81,4.74,2.52,0.56,5.21,3.95,1.66,4.42,1.01,2.49,3.52,2.54,3.65,2.26,2.38,2.16,4.27,3.61,0.62,0.37,3.05,6.26,0.76,0.8,4.46,1.92,3.59,1.4,1.84,2.08,2.13,1.86,5.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
