"READING ENGLEFIELD",,,,,,,,,,,,
Grid ref,SU624720,Long,-1.103546,Lat,51.443563,,,,,,,
Station no,807,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,3.05,1.36,0.92,3.43,3.31,0.47,4.20,0.53,1.53,0.67,,
February,4.44,2.28,1.53,1.31,3.33,0.58,2.16,1.40,1.11,0.38,,
March,1.17,2.17,1.95,3.41,1.45,5.06,1.32,0.97,2.98,3.20,,
April,1.05,2.23,1.26,2.31,1.26,2.01,0.63,2.83,4.81,1.75,,
May,1.58,0.69,2.72,4.34,3.53,1.29,1.99,1.93,1.99,1.63,,
June,2.61,1.25,3.41,5.64,0.87,4.38,2.41,2.66,0.95,4.64,,
July,0.75,2.61,1.33,2.22,1.88,0.44,0.77,2.17,1.85,2.10,,
August,2.29,2.04,3.96,3.31,2.51,3.25,1.15,1.49,2.74,1.88,,
September,0.52,1.36,0.87,1.97,1.67,1.26,0.79,0.71,1.89,3.62,,
October,2.13,1.56,1.86,8.16,1.68,1.73,5.38,5.07,1.56,4.46,,
November,2.49,0.62,2.90,1.89,2.13,3.51,3.52,2.17,0.94,0.52,,
December,4.06,4.34,1.53,2.38,3.02,0.89,2.43,3.76,2.51,3.64,,
Total,26.14,22.51,24.24,40.37,26.64,24.87,26.75,25.69,24.86,28.49,,
Calc annual,26.14,22.51,24.24,40.37,26.64,24.87,26.75,25.69,24.86,28.49,,
Difference,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,,
