EDINBURGH CUMIN PLACE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NT260719,Long,-3.1860772,Lat,55.934441,Elevation,274,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,RR1860,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899
January,,,,,,3.29,1.13,7.42,3.84,1.3,0.77,1.76,1.91,3.04,3.64,1.32,4.38,0.93,0.78,0.72,3.54,,,,,,,,,
February,,,,,,1.22,2.95,2.22,0.86,2.05,1.83,4.61,1.79,1.38,1.55,2.26,1.5,1.1,1.5,1.1,0.97,,,,,,,,,
March,,,,,,0.92,3.67,2.67,0.78,2.44,1.62,1.84,2.73,1.35,1.8,1.68,2.76,1.71,4,1.07,1.82,,,,,,,,,
April,,,,,,0.69,3.59,3.46,1.5,2.69,3.7,1.19,2.71,1.64,1.22,2.06,1.53,0.94,1.69,2.93,0.83,,,,,,,,,
May,,,,,,0.91,1.05,2.56,3.02,1.79,0.9,1.91,2.24,0.84,2.42,3.08,4.83,1.93,0.75,1.58,1.75,,,,,,,,,
June,,,,,,2.04,3.18,1.8,1.81,4.99,1.9,1.79,2.68,1.77,0.96,0.54,2.24,0.32,2.77,1.48,3.09,,,,,,,,,
July,,,,,,3.73,1.26,4.75,0.76,7.63,4.47,3.08,4.33,4.21,4.63,0.9,3.01,2.29,5.47,4.08,2.14,,,,,,,,,
August,,,,,,1.8,3.24,9.64,4.54,2.73,0.55,6.07,1.57,3.09,2.09,2.77,0.86,1.81,2.08,5.62,3.92,,,,,,,,,
September,,,,,,3.13,4.73,1.14,2.93,1.6,2.84,3.63,2.02,2.25,2.36,2.81,2.37,4.98,0.64,0.89,2.21,,,,,,,,,
October,,,,,,2.52,2.69,2.72,1.87,1.28,4.15,1.99,2.65,2.09,1.5,1.62,4.45,1.63,1.25,3.6,3.03,,,,,,,,,
November,,,,,,4.61,4.03,2.42,3.67,2.42,3.84,2.9,3.54,2.52,1.45,1.27,1.28,3.66,5.02,0.64,5.13,,,,,,,,,
December,,,,,,2.35,6.17,1.62,2.81,1.71,3.51,1.67,4.69,1.14,3.63,1.17,2.57,1.56,1.39,1.39,1.66,,,,,,,,,
Total,,,,,,27.21,37.69,42.42,28.39,32.63,30.08,32.44,32.86,25.32,27.25,21.48,31.78,22.86,27.34,25.1,30.09,,,,,,,,,
