"CATTON",,,,,,,,,,,,
Grid ref,TG227122,Long,1.291683,Lat,52.661750,,,,,,,
Station no,1413,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,1.52,1.12,,,1.28,0.84,0.75,,
February,,,,0.36,2.76,,,1.51,2.11,0.46,,
March,,,,1.50,1.76,2.03,,1.44,2.43,2.94,,
April,,,,2.28,,2.17,0.71,3.90,2.20,1.57,,
May,,,,1.90,,1.41,3.34,2.91,1.61,1.22,,
June,,,,2.82,0.38,3.30,2.04,2.61,1.15,2.99,,
July,,,,5.03,1.79,,0.66,1.57,3.22,3.07,,
August,,,,3.10,,2.79,1.77,1.31,2.17,1.60,,
September,,,,2.89,2.26,2.68,1.18,0.49,1.71,2.16,,
October,,,,5.62,0.95,4.33,3.05,3.04,1.63,4.44,,
November,,,,2.32,,2.41,4.81,2.69,1.53,1.51,,
December,,,,2.28,1.85,,2.72,2.43,1.40,4.56,,
Total,,,,31.62,,,,25.18,22.00,27.27,,
Calc annual,0.00,0.00,0.00,31.62,12.87,21.12,20.28,25.18,22.00,27.27,,
Difference,NaN,NaN,NaN,-0.00,NaN,NaN,NaN,0.00,0.00,0.00,,
