"STANTON ST JOHN",,,,,,,,,,,,
Grid ref,SP578096,Long,-1.163537,Lat,51.782087,,,,,,,
Station no,RR4381,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,2.61,1.04,0.71,2.44,3.24,0.91,,,,,,
February,4.76,1.58,1.20,0.71,3.35,0.54,,,,,,
March,0.50,1.67,1.25,3.39,1.14,3.02,,,,,,
April,1.04,2.27,1.51,2.06,0.84,1.92,,,,,,
May,1.30,1.61,1.64,4.08,2.86,1.08,,,,,,
June,2.84,1.65,2.45,5.34,1.08,4.48,,,,,,
July,1.25,3.56,0.98,2.93,4.02,0.22,,,,,,
August,3.77,2.28,2.62,3.99,1.77,3.63,,,,,,
September,0.40,2.57,2.49,1.90,1.82,1.55,,,,,,
October,2.30,1.61,1.66,7.31,0.89,1.35,,,,,,
November,1.88,0.56,2.17,1.64,2.08,3.00,,,,,,
December,3.41,3.53,1.38,1.20,1.85,1.18,,,,,,
Total,26.06,23.93,20.06,36.99,24.94,22.88,,,,,,
Calc annual,26.06,23.93,20.06,36.99,24.94,22.88,0.00,0.00,0.00,0.00,,
Difference,0.00,0.00,0.00,0.00,-0.00,-0.00,NaN,NaN,NaN,NaN,,
