ST-PANCRAS-ST-AUGUSTINE-ROAD-NEW-GAUGE,,,,,,,,,,,,,,,,,,,,
Grid ref,TQ298846,Long,-0.12954068,Lat,51.545375,Elevation,150,ft.,,,,,,,,,,,,
Station no,RR7739,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919
January,,,,,,,,,1.8,0.76,1.47,1.33,4.13,,,,,,,
February,,,,,,,,,1.73,0.45,2.83,1.44,1.78,,,,,,,
March,,,,,,,,,2.22,2.99,0.92,1.72,,,,,,,,
April,,,,,,,,,2.44,2.15,2.24,1.85,,,,,,,,
May,,,,,,,,,1.97,1.83,2.37,1.92,,,,,,,,
June,,,,,,,,,1.29,3.8,2.14,2.68,,,,,,,,
July,,,,,,,,,3.25,3.54,2.41,0.86,,,,,,,,
August,,,,,,,,,2.9,1.51,1.72,0.53,,,,,,,,
September,,,,,,,,,1.3,2.56,0.58,1.35,,,,,,,,
October,,,,,,,,,1.86,4.12,1.96,3.05,,,,,,,,
November,,,,,,,,,0.78,0.81,3.07,3.63,,,,,,,,
December,,,,,,,,,1.63,2.82,3.3,4.15,,,,,,,,
Total,,,,,,,,,23.17,27.34,25.01,24.51,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
NGR is on St Augustines Road at the NE end where altitudes match.,,,,,,,,,,,,,,,,,,,,
