RIPON-GRAMMAR-SCHOOL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SE302715,Long,-1.5392521,Lat,54.138458,Elevation,150,ft.,,,,,,,,,,,,,,,,,,,,,,
Station no,3376/7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,,,5.48,2.49,3.36,3.45,4.22,2.2,3.23,2.61,2.58,6.39,0.89,1.46,2.02,2.1,0.36,1.8,1.73,3.62,1.52,,,
February,,,,,,,,,1.87,2.14,4.42,2.08,1.13,1.29,2.92,2.01,2.4,1.32,1.26,3.82,2.25,0.33,1.4,2.62,1.52,1.34,1.97,,,
March,,,,,,,,0.08,1.89,1.64,2.33,2.62,0.83,0.33,0.47,1.13,5.11,1.54,1.25,0.99,3.03,1.75,0.24,1.58,1.84,0.99,1.45,,,
April,,,,,,,,0.04,1.09,1.62,1.57,1.14,1.27,2.88,1.56,1.77,3.23,2.26,2.43,1.86,1.02,1.37,2.04,0.19,0.61,1.73,0.13,,,
May,,,,,,,,2.74,1.36,1.08,1.31,2.98,2.33,0.52,2.95,2.6,2.34,1,1.33,1.2,5.24,1.67,1.33,3.63,1.9,0.5,0.8,,,
June,,,,,,,,3.61,2.12,1.18,0.34,1.42,2.63,2.59,2.81,1.83,2.91,3.7,1.46,0.8,1.11,1.21,1.91,1.92,1.44,2.66,1.22,,,
July,,,,,,,,3.37,5.7,4.38,2.09,2.65,1.09,2.72,1.71,3.18,3.53,0.61,1.68,2.29,1.7,1.26,1.48,1.84,0.77,4.34,3.89,,,
August,,,,,,,,3.82,2.66,0.47,2.67,2.63,2.62,2.46,2.62,4.22,0.5,3.49,3.63,3.78,5.79,2.22,2.79,4.56,0.81,5.6,,,,
September,,,,,,,,2.02,1.14,1.77,0.46,1.64,3.45,5.47,0.83,4.4,1.45,1.74,0.99,2.72,1.53,2.99,1.81,1.77,0.83,2.83,,,,
October,,,,,,,,4.95,2.95,3.32,3.19,1.91,1.58,2.53,4.18,1.15,0.68,0.56,2.05,1.12,0.8,2.63,1.75,3.7,1.58,0.81,,,,
November,,,,,,,,3.91,3.14,4.08,2.92,1.21,1.97,4.83,0.41,5.8,2.02,0.72,3.28,2.85,6.05,1.23,2.31,4.39,2.07,0.38,,,,
December,,,,,,,,4.65,1.88,2.07,0.72,1.91,1.4,2.51,1.71,2.7,1.93,2.73,2.86,1.83,2.41,1.42,0.77,1.96,3.26,2.54,,,,
Total,,,,,,,,,31.28,26.24,25.38,25.64,24.52,30.33,25.4,33.4,28.68,26.06,23.11,24.72,32.95,20.18,18.19,29.96,18.36,27.34,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGR is from the 1950s record and is the Grammar School. Altitudes match.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
