"LOCH BRADAN",,,,,,,,,,,,
Grid ref,NX437977,Long,-4.460352,Lat,55.248643,,,,,,,
Station no,5266,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,,,,,,,,
February,,,,,,,,,,,,
March,,,,,,,,,,,,
April,,,,,,,,,,,,
May,,,,,,,,,,,,
June,,,,,,,,,,3.20,,
July,,,,,,,,,,8.05,,
August,,,,,,,,,,3.60,,
September,,,,,,,,,,3.05,,
October,,,,,,,,,,12.45,,
November,,,,,,,,,,3.30,,
December,,,,,,,,,,5.40,,
Total,,,,,,,,,,,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,39.05,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
