"GREENOCK W W (LARGS ROAD)",,,,,,,,,,,,
Grid ref,NS242686,Long,-4.811852,Lat,55.878382,,,,,,,
Station no,5220,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,6.00,7.60,5.50,8.50,5.30,4.70,7.50,7.70,2.70,5.40,,
February,4.30,3.00,4.10,7.50,4.40,2.50,5.00,4.90,3.60,7.20,,
March,5.00,5.20,1.80,6.50,2.10,4.20,6.20,2.00,5.30,4.30,,
April,3.70,3.60,2.70,5.20,7.20,2.00,3.80,2.70,6.50,8.70,,
May,2.70,2.50,3.00,4.60,6.90,4.40,3.00,5.10,2.00,3.10,,
June,2.40,4.50,1.90,6.70,10.50,3.90,2.90,4.50,4.30,3.80,,
July,4.80,4.10,6.90,5.20,5.50,6.30,7.20,7.50,8.90,7.60,,
August,5.20,6.40,6.60,7.40,1.40,6.30,6.00,6.20,1.70,4.90,,
September,5.50,4.70,7.90,10.10,9.50,5.70,4.40,5.70,2.50,4.60,,
October,2.20,8.40,5.60,12.50,6.90,3.60,6.60,5.60,8.60,5.10,,
November,9.50,3.10,10.50,13.20,4.00,3.50,3.60,2.90,9.80,11.30,,
December,9.20,6.30,6.40,8.20,9.60,8.10,8.00,9.70,13.60,9.00,,
Total,60.50,59.40,62.90,95.60,73.30,55.20,64.20,64.50,69.50,75.00,,
Calc annual,60.50,59.40,62.90,95.60,73.30,55.20,64.20,64.50,69.50,75.00,,
Difference,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
