AHASERAGH CLONBROCK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,IM7436239698,Long,-8.386278,Lat,53.40701,Elevation,200,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,6157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January,,,,,3.61,6.25,2.62,6.25,4.84,3.5,1.72,0.26,2.4,8.02,5.71,2.84,4.41,1.9,1.4,3.91,7.44,1.8,2.31,3.73,6.5,1.66,2.21,1.73,3.34,5.1,7,3.75,4.3,5.58,4.2,2.77,6.63,0.64,3.82,2.33,4.45,2.33,3.93,7.98,3.33,6.34,3.51,1.92,4,3.08,6.54,4.38,4.23,4.07,3.55,4.43,4.83,5.17,6.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February,,,,,1.98,0.91,5.75,3.21,1.46,3.84,3.51,3.91,2.28,7.48,5.21,4.23,1.32,1.36,0.7,2.53,1,0.55,2.75,2.29,6.4,0.03,1.58,3.08,1.89,3.17,2.85,0.6,1.7,5.62,5.15,1.76,2.65,0.97,2.48,1.17,4.95,4.96,4.55,3.03,7.18,6.8,3.75,1.19,5.96,1.56,2.98,1.52,5.63,6.4,1.37,5.06,4.05,3.85,4.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March,,,,,2.72,1.24,5.11,2.25,2.64,2.89,3.34,3.5,4.17,1.25,3.35,2.46,4.65,1.4,2.93,2.11,2.5,1.32,1.21,1.25,3.96,4.06,5.16,5.36,0.8,1.78,0.35,3.7,2.41,7.7,3.23,5.93,2.9,3.56,3.85,1.97,2.37,2.38,6.75,7.46,6.61,1.1,1.4,1.57,2.38,2.16,3,4.6,2.42,2.92,1.07,0.64,1.56,4.8,3.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April,,,,,1.32,1.69,3.17,3.62,2.1,2.94,4.08,2.1,4.47,2.35,1.66,3.25,2.79,1.5,1.77,1.71,1.15,1.37,1.02,1.33,4.13,1.1,1.36,4.27,2.99,3.87,3.39,3.55,4.05,1.45,2.28,1.26,1.82,1.98,1.85,4.67,3.1,3.16,1.61,4.8,2.47,3.32,5.1,1.53,1.17,2.03,3.39,1.45,2.71,4.12,3.61,4,2.62,1.81,2.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May,,,,,2.27,2.88,0.87,3.13,5.09,1.91,1.24,2.65,3.72,1.22,4.42,1.82,4.55,2.05,2.55,4.66,1.58,2.95,3.34,2.3,3.36,0.37,0.43,1.49,3.06,3.42,4.6,1.76,2.95,2.34,2.45,0.93,4.23,4.65,3.8,2.07,3.18,3.65,1.92,5.47,2.37,1.08,4.22,3.41,2.52,4.44,3.84,1.98,3.12,1.63,4,5.6,4.72,1.47,1.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June,,,,,1.28,5.57,1.71,5.06,7.01,6.44,3.22,5.41,2.39,3.72,0.89,0.76,2.01,0.71,6.01,1.31,2.11,2.05,1.85,2.02,2.79,1.12,2.94,5.08,3.38,2.4,4.72,3.5,2.05,0.7,1.55,2.86,2,4.17,2.26,1.62,5.28,2.5,6.71,4.81,2.03,2.27,3.2,1.69,1.93,2.04,2.39,0.27,2.28,1.42,4.47,0.51,3.42,4.4,7.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,,,,,4.69,2.68,2.01,2.86,1.03,5.4,7.2,3.45,7.32,4.65,2.97,2.88,3.75,2.77,4.86,1.51,4.4,1,4.36,4.25,4.84,6.11,6.7,2.29,1.25,1.9,3.17,0.75,2.1,5.23,4.14,0.65,2.25,2.72,2.2,2.93,4.88,3.34,4.82,1.2,4,6.05,1.65,3.38,4.03,2.16,5.53,4.97,4.79,2.25,5.85,3.33,3.21,2.65,2.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August,,,,,5.66,2.3,4.01,6.6,5.9,5.09,1.8,4.59,3.62,3.76,0.92,2.68,3.6,2.57,2.94,5.51,3.7,6.81,6.06,4.37,3.25,6.3,2.18,7.18,6.7,1.92,5.5,2.25,1.13,9.53,4.12,6.39,3.55,3.9,3.75,1.33,6.27,3.3,4.78,2.06,5.12,4.88,4.53,8.18,2.71,3.02,2.54,4.58,4.01,4.2,4.23,2.38,3.66,5.94,5.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September,,,,,7.77,5.62,5.47,3.55,3.38,6.09,1.24,3.47,2.42,4.83,3.27,5.79,6.57,4.12,1.12,2.1,2.92,4.51,6.03,1.9,0.05,0.43,5.75,2.48,2.55,1.62,2.9,5.9,1.2,4.89,2.64,2.55,1.08,1.2,5.44,3.5,1.37,2.8,0.96,4.99,2.92,2.84,3.45,4.3,9.05,4.14,2.33,2.18,4.88,4.36,6.21,2.66,3.35,6.11,2.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October,,,,,6.35,3.77,4.51,6.08,4.1,2.81,0.65,2.06,3.91,3.83,2.63,4.82,5.24,2.7,1.46,3.86,4.04,5.5,2.67,3.51,4.3,3.43,2.09,3.09,2.22,2.05,7.6,3.65,2.68,5.15,2.99,1.3,5.56,5,1.12,5.95,2.53,5.03,4.48,4.8,2.26,4.05,8.82,6.79,6.08,2.07,3.97,2.66,2.19,4.57,3.86,3.29,4.67,4.21,6.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
