FAIRLIE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NS214555,Long,-4.847943,Lat,55.759796,Elevation,270,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,5215/4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,6.02,6.1,4.7,5.46,3.28,6.2,7.2,8.4,5.67,2.45,1.25,8.6,6.2,4.78,3.5,6.75,7.65,10.8,5.25,3.7,5.7,5.65,2.95,5.1,3.07,3.9,5.9,5.85,2,3.6
February,4.32,0,4.23,0.5,4.8,3.3,7.25,2.73,6.2,2.35,6.1,2.03,4.8,2,7.25,3.15,0.7,4.7,5.2,4.2,3.55,1.62,2.17,4.1,2.83,1.6,3.85,4.35,1.97,4.6
March,1.28,2.82,2.7,3.23,2.5,4.42,2.75,3.45,4.13,4.88,3.33,5.2,2.05,1,3.28,2.3,5.65,4.5,3.5,3.3,4.4,4.32,1,3.35,1.6,3.22,5.33,1.7,3.72,3.03
April,2.5,4.7,2.55,4.6,4,1.87,2.85,0.35,3.12,3.84,2.17,3.12,3.85,3.3,2.65,2.2,6.4,4.01,5.9,3.1,2.4,2.15,2.98,2.08,4.65,1.35,2.3,1.8,3.56,5.85
May,4.75,2.94,3.75,3.56,0.97,2.95,1.75,4.02,1.27,1.35,3.14,3.8,3.8,3.32,4.3,1.02,5.05,2.5,1.9,1.35,2.5,2.3,3,3.82,4.3,2.8,3,4.2,1.7,3.15
June,6,2.54,2.95,3.4,4.3,1.72,4.03,5.44,2.75,1.2,1.62,2.43,4.3,3.5,4.5,2.67,4.4,5.4,1.45,2.33,1.92,3.8,1.38,3.95,3.75,3.17,2.7,3.15,3.8,3.4
July,5.5,4.6,4.8,4.02,2.85,7.75,5.2,5.36,6.85,3.35,3.83,4.5,2.85,4.53,3.75,4.4,4.2,4.35,2,6.4,4.4,3.1,4.35,4.3,1.5,5.1,6.4,5.3,5.45,5.4
August,2.25,3.6,4.56,5.02,1.9,3.6,3.55,3.6,2.5,2.2,5.05,6.75,7.7,3.05,2.25,2.8,0,6.9,5.25,6.25,4.6,5.1,4.5,6.3,1.47,5.62,4.35,5.35,0.95,4.3
September,1.93,4.6,1.16,6.7,6.1,4.6,3.4,4.5,4.55,5,2.25,6.5,3.85,6.1,5.6,8.3,4.8,7,2.5,10.2,4.5,3.7,6.05,6.5,4.76,5.57,2.98,4.35,1.6,3.9
October,4.23,7.4,3.47,9.32,9.9,5.1,2.95,11,4.34,6.3,5.37,6.1,8.7,6.8,7.9,0.5,2.66,7.9,7.6,4.87,1.32,8.7,4.3,9.73,3.85,2.88,5.4,3.92,6.45,4
November,9.2,4.3,4.77,2.22,6.65,4.2,1.3,9.9,8.3,8.9,4.6,0.8,3.4,6.5,0.5,9,6.1,3.65,6.6,4,7.2,2.93,7.05,8.5,3.1,2.1,2.95,2.42,5.38,8.5
December,4.32,7.85,2.2,10.6,5.67,6.7,3.2,4.97,3.8,8,2.63,6.5,2.6,6.4,5.7,5.52,2.1,8.3,7.9,1.85,7.78,5.48,4.7,6.1,7.8,5.3,5.82,6.5,10.56,7.1
Total,52.3,51.45,41.84,58.63,52.92,52.41,45.43,63.72,53.48,49.82,41.34,56.33,54.1,51.28,51.18,48.61,49.71,70.01,55.05,51.55,50.27,48.85,44.43,63.83,42.68,42.61,50.98,48.89,47.14,56.83
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,5215/4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Midas,13487,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hyd Stn,648926,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
