"FAIRLIE",,,,,,,,,,,,
Grid ref,NS214555,Long,-4.847943,Lat,55.759796,,,,,,,
Station no,5215/4,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,5.70,5.65,2.95,5.10,3.07,3.90,5.90,5.85,2.00,3.60,,
February,3.55,1.62,2.17,4.10,2.83,1.60,3.85,4.35,1.97,4.60,,
March,4.40,4.32,1.00,3.35,1.60,3.22,5.33,1.70,3.72,3.03,,
April,2.40,2.15,2.98,2.08,4.65,1.35,2.30,1.80,3.56,5.85,,
May,2.50,2.30,3.00,3.82,4.30,2.80,3.00,4.20,1.70,3.15,,
June,1.92,3.80,1.38,3.95,3.75,3.17,2.70,3.15,3.80,3.40,,
July,4.40,3.10,4.35,4.30,1.50,5.10,6.40,5.30,5.45,5.40,,
August,4.60,5.10,4.50,6.30,1.41,5.62,4.35,5.35,0.95,4.30,,
September,4.50,3.70,6.05,6.50,4.76,5.57,2.98,4.35,1.60,3.90,,
October,1.32,8.70,4.30,9.73,3.85,2.88,5.40,3.92,6.45,4.00,,
November,7.20,2.93,7.05,8.50,3.10,2.10,2.95,2.42,5.38,8.50,,
December,7.78,5.48,4.70,6.10,7.80,5.30,5.82,6.50,10.56,7.10,,
Total,50.27,48.85,44.43,63.83,42.68,42.61,50.98,48.89,47.14,56.83,,
Calc annual,50.27,48.85,44.43,63.83,42.62,42.61,50.98,48.89,47.14,56.83,,
Difference,0.00,0.00,0.00,-0.00,0.06,0.00,0.00,0.00,0.00,0.00,,
