STOKE-POGES-TITHE-FARM,,,,,,,,,,
Grid ref,SU969834,Long,-0.60414623,Lat,51.541191,Elevation,164,ft,,
Station no,997/7,,,,,,,,,
,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,,,,1.64,0.87,4.06,3.95,3.02,,
February,,,,0.15,2.26,1.75,4.43,0.42,,
March,,,,2.19,0.48,1.35,2.87,0.33,,
April,,,,1.63,3.17,1.55,2.88,0.06,,
May,,,,0.42,1.49,0.35,3.07,2.25,,
June,,,,1.42,4.95,3.65,2.03,0.61,,
July,,,,0.89,0.71,3.52,2,1.8,,
August,,,,2.42,1.61,0.57,2.07,1.25,,
September,,,,1.5,4.15,2.5,4.19,1.85,,
October,,,,1.68,2.93,1.94,2.78,3.75,,
November,,,,2,4.82,3.72,1.37,2.4,,
December,,,,5.51,2.2,2.03,3.4,5.1,,
Total,,,,21.45,29.64,26.99,35.04,22.84,,
