ARLESLEY-SEWAGE-WORKS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,TL190363,Long,-0.267503,Lat,52.01238,Elevation,141,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,1169/3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,2.92,3.32,2.43,4.32,1.94,2.2,2.24,3.53,1.25,1.9,1.41,1.33,3.32,1.04,0.92,2.35,1.23,0.83,0.62,1.52,3.71,0.91,2.24,2.72,1.94
February,,,,,,1.92,2.98,0.49,0.63,1.76,1.78,0.82,0.73,,1.22,1.64,1.41,0.69,0.95,3.2,3.83,0.6,1.47,1.66,1.52,0.3,2.4,1.9,0.05,1.6
March,,,,,,0.96,3.26,0.31,1.42,2.8,3.05,1.2,0.5,,0.39,1.12,5.81,0.84,1.08,0.59,2.88,2.56,0.43,2.03,,0.45,0.79,1.03,1.77,1.12
April,,,,,,1.48,2.46,0.07,2.69,1.3,1.15,1.08,0.76,,,1.09,1.56,1.57,1.51,1.69,2.45,1.55,2.61,0.28,0.41,1.08,0.21,0.8,1.75,0.33
May,,,,,,0.73,3.43,2.08,1.56,1.18,1.92,2.59,,,,2.3,1.06,3.39,1.85,3.25,2.33,2.01,1.35,2.36,3.82,0.35,1.01,1.46,0.73,1.01
June,,,,,,4.59,2.25,0.4,1.7,0.97,1.22,0.25,1.96,1.3,1.89,2,1.43,3.78,0.6,1.3,0.71,1.4,1.88,2.3,2.26,2.95,1.33,5.84,0.55,2.01
July,,,,,,4.68,1.99,1.77,1.92,3.11,2.58,,,,1.86,1.68,1.83,0.49,1.7,4.98,1.36,0.37,2.74,2.82,0.62,3.79,2.37,3.6,3.84,2.94
August,,,,,,0.66,1.13,2.78,4.63,0.11,3.42,,1.21,0.85,1.27,3.6,0.01,3.88,1.64,2.91,3.01,3.46,2.4,4.41,1.15,4.02,2.11,2.69,1.01,3.22
September,,,,,,2.39,2.18,1.55,0.96,0.58,0.54,1.22,1.67,,1.97,2.32,1.09,1.74,0.32,2.86,2.31,2.26,1.32,1.43,1.19,1.73,2.39,3.48,0.06,3.09
October,,,,,,1.49,2.42,2.29,3.74,1.96,1.38,3.66,2.15,2.75,,1.27,0.18,2.32,3.98,0.3,1.26,2.2,2.27,1.61,1.87,1.6,1.82,1.83,1.37,4.2
November,,,,,,2.43,1.59,2.21,3.25,6.44,2.15,,,2.45,0.72,4.61,1.09,1.3,2.45,4.42,4,3.04,1.13,3.85,0.69,0.53,1.43,1.46,1.59,3.3
December,,,,,,1.59,2.85,2.45,1.11,1.14,0.79,,0.66,0.7,2.2,1.48,2.09,1.57,1.32,1.16,1.39,1.83,0.35,1.74,1.96,2.55,2.01,2.25,2.67,2.59
Total,,,,,,25.84,29.86,18.83,27.93,23.29,22.18,,,,,24.52,18.89,24.89,18.44,27.58,27.88,22.51,18.78,25.11,,23.06,18.78,28.58,18.11,27.35
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1942 Jul Aug Nov Dec estimated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1943 May Jul Nov estimated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1944 Sep No value,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1945 Apr May Oct estimated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1955 Mar estimated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
